time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.154253,4.2e-05,77,0,0,,,,,,,,,,,,,317,96
120.159145,4.2e-05,95,0,0,,,,,,,,,,,,,356,107
180.193932,4.2e-05,97,0,0,,,,,,,,,,,,,358,107
240.187831,4.2e-05,99,0,0,,,,,,,,,,,,,360,107
300.190803,4.2e-05,99,0,0,,,,,,,,,,,,,360,107
360.194267,2.076196,100,0,0,,,,,,,,,,,,,361,107
420.208404,62.090334,100,0,0,,,,,,,,,,,,,361,107
480.211564,122.093486,100,0,0,,,,,,,,,,,,,361,107
540.214707,182.096629,99,0,0,,,,,,,,,,,,,360,107
600.218311,242.100237,99,0,0,,,,,,,,,,,,,360,107
660.22149,302.103419,99,0,0,,,,,,,,,,,,,360,107
720.224587,362.106514,99,0,0,,,,,,,,,,,,,360,107
780.227598,422.109524,98,0,0,,,,,,,,,,,,,351,107
840.235344,482.117271,97,0,0,,,,,,,,,,,,,350,107
900.238605,542.120533,97,0,0,,,,,,,,,,,,,350,107
960.242207,602.124141,97,0,0,,,,,,,,,,,,,350,107
1020.247073,662.129008,97,0,0,,,,,,,,,,,,,350,107
1080.251581,722.133505,97,0,0,,,,,,,,,,,,,350,107
1140.255273,782.137201,97,0,0,,,,,,,,,,,,,350,107
1200.263124,842.145053,96,0,0,,,,,,,,,,,,,335,107
1260.269228,902.151158,96,0,0,,,,,,,,,,,,,335,107
1320.27587,962.1578,96,0,0,,,,,,,,,,,,,335,107
1380.279862,1022.161804,96,0,0,,,,,,,,,,,,,335,107
1440.284654,1082.166588,96,0,0,,,,,,,,,,,,,335,107
1500.301185,1142.183113,96,0,0,,,,,,,,,,,,,335,107
1560.333357,1202.215292,96,0,0,,,,,,,,,,,,,335,107
1620.340262,1262.222199,96,0,0,,,,,,,,,,,,,335,107
1680.346117,1322.228048,96,0,0,,,,,,,,,,,,,335,107
1740.351237,1382.233161,96,0,0,,,,,,,,,,,,,335,107
1800.356196,1442.238122,94,0,0,,,,,,,,,,,,,331,107
1860.359084,1502.241011,94,0,0,,,,,,,,,,,,,331,107
1920.362767,1562.244706,94,0,0,,,,,,,,,,,,,331,107
1980.366667,1622.248604,94,0,0,,,,,,,,,,,,,331,107
2040.371352,1682.253285,93,0,0,,,,,,,,,,,,,325,107
2100.375842,1742.257773,93,0,0,,,,,,,,,,,,,325,107
2160.379685,1802.261623,93,0,0,,,,,,,,,,,,,325,107
2220.384476,1862.266408,93,0,0,,,,,,,,,,,,,325,107
2280.39048,1922.272407,93,0,0,,,,,,,,,,,,,325,107
2340.39538,1982.277306,93,0,0,,,,,,,,,,,,,325,107
2400.399214,2042.281148,93,0,0,,,,,,,,,,,,,325,107
2460.403406,2102.285345,93,0,0,,,,,,,,,,,,,325,107
2520.415061,2162.296985,93,0,0,,,,,,,,,,,,,325,107
2580.419328,2222.301261,93,0,0,,,,,,,,,,,,,325,107
2640.424207,2282.306142,93,0,0,,,,,,,,,,,,,325,107
2700.428941,2342.310875,93,0,0,,,,,,,,,,,,,325,107
2760.445896,2402.327826,93,0,0,,,,,,,,,,,,,325,107
2820.450574,2462.332508,93,0,0,,,,,,,,,,,,,325,107
2880.455635,2522.337569,93,0,0,,,,,,,,,,,,,325,107
2940.459996,2582.34192,93,0,0,,,,,,,,,,,,,325,107
3000.464308,2642.346242,92,0,0,,,,,,,,,,,,,324,107
3060.469309,2702.351245,92,0,0,,,,,,,,,,,,,324,107
3120.473651,2762.355583,91,0,0,,,,,,,,,,,,,319,107
3180.485362,2822.367293,91,0,0,,,,,,,,,,,,,319,107
3240.497581,2882.379515,91,0,0,,,,,,,,,,,,,319,107
3300.50209,2942.384024,91,0,0,,,,,,,,,,,,,319,107
3360.506289,3002.388222,91,0,0,,,,,,,,,,,,,319,107
3420.510522,3062.392453,91,0,0,,,,,,,,,,,,,319,107
3480.515037,3122.39696,91,0,0,,,,,,,,,,,,,319,107
3493.985527,3135.86735,90,0,0,,,,,,,,,,,,,316,107
3540.534637,3135.86735,92,7,100,,,,,,,,,,,,,365,111
