time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.3129,3.7e-05,18,0,0,,,,,,,,,,,,,3940,3272
120.275771,3.7e-05,27,0,0,,,,,,,,,,,,,3999,3272
180.231578,3.7e-05,28,0,0,,,,,,,,,,,,,4000,3272
240.400541,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
300.327617,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
360.34912,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
420.367087,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
480.496904,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
540.614756,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
600.458022,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
660.600665,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
720.535911,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
780.853959,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
840.649778,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
900.65885,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
960.805079,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1020.675096,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1080.756232,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1140.808123,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1200.808721,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1260.875608,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1320.972495,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1380.976562,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1441.152795,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1500.990665,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1561.013812,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
1621.075969,3.7e-05,32,0,0,,,,,,,,,,,,,4012,3272
