time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.206918,2.9e-05,21,0,0,,,,,,,,,,,,,1299,722
120.284355,2.9e-05,33,0,0,,,,,,,,,,,,,1366,722
180.300252,2.9e-05,36,0,0,,,,,,,,,,,,,1486,723
240.279273,2.9e-05,38,0,0,,,,,,,,,,,,,1488,723
300.290318,2.9e-05,40,0,0,,,,,,,,,,,,,1503,723
360.355516,2.9e-05,45,0,0,,,,,,,,,,,,,1510,723
420.388718,2.9e-05,45,0,0,,,,,,,,,,,,,1510,723
480.387458,2.9e-05,45,0,0,,,,,,,,,,,,,1510,723
540.418662,2.9e-05,46,0,0,,,,,,,,,,,,,1522,723
600.473382,2.9e-05,46,0,0,,,,,,,,,,,,,1522,723
660.483404,2.9e-05,46,0,0,,,,,,,,,,,,,1522,723
720.519167,2.9e-05,47,0,0,,,,,,,,,,,,,1523,723
780.628162,2.9e-05,47,0,0,,,,,,,,,,,,,1523,723
840.604579,2.9e-05,47,0,0,,,,,,,,,,,,,1523,723
900.776453,2.9e-05,47,0,0,,,,,,,,,,,,,1523,723
960.667527,2.9e-05,48,0,0,,,,,,,,,,,,,1525,723
1020.865456,2.9e-05,48,0,0,,,,,,,,,,,,,1525,723
1080.842526,2.9e-05,48,0,0,,,,,,,,,,,,,1525,723
1140.736392,2.9e-05,48,0,0,,,,,,,,,,,,,1525,723
1200.835354,2.9e-05,48,0,0,,,,,,,,,,,,,1525,723
1260.818658,2.9e-05,48,0,0,,,,,,,,,,,,,1525,723
1320.841877,2.9e-05,48,0,0,,,,,,,,,,,,,1525,723
1380.847524,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
1440.902007,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
1501.008399,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
1561.291664,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
1620.984113,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
1681.061579,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
1741.277324,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
1801.165836,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
1861.288636,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
1921.190761,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
1981.413037,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2041.246676,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2101.437232,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2161.285253,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2221.455968,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2281.509855,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2341.468358,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2401.444328,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2461.476419,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2521.476675,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2581.702579,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2641.604467,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2701.705586,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2761.624543,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2821.629828,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2881.832728,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
2941.708837,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
3001.717483,2.9e-05,49,0,0,,,,,,,,,,,,,1527,723
3051.416084,19.712559,1,0,0,,,,,,,,,,,,,117,723
3061.735199,19.712559,29,34,50,,,,,,,,,,,,,1472,723
3121.763527,19.712559,37,34,50,,,,,,,,,,,,,1485,723
3181.860976,19.712559,45,34,50,,,,,,,,,,,,,1521,723
3241.999403,19.712559,48,34,50,,,,,,,,,,,,,1522,723
3302.0743,19.712559,49,34,50,,,,,,,,,,,,,1522,723
3362.046237,19.712559,49,34,50,,,,,,,,,,,,,1522,723
3422.046812,19.712559,49,34,50,,,,,,,,,,,,,1522,723
3482.241751,19.712559,49,34,50,,,,,,,,,,,,,1522,723
3542.14603,19.712559,49,34,50,,,,,,,,,,,,,1522,723
3602.358182,19.712559,49,34,50,,,,,,,,,,,,,1522,723
3662.217315,19.712559,50,34,50,,,,,,,,,,,,,1524,723
