time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.128712,2.7e-05,42,0,0,,,,,,,,,,,,,218,87
120.132016,2.7e-05,48,0,0,,,,,,,,,,,,,231,88
180.135149,2.7e-05,55,0,0,,,,,,,,,,,,,239,89
240.138676,2.7e-05,56,0,0,,,,,,,,,,,,,240,89
300.141903,2.7e-05,56,0,0,,,,,,,,,,,,,240,89
360.146795,2.7e-05,56,0,0,,,,,,,,,,,,,240,89
420.15026,2.7e-05,56,0,0,,,,,,,,,,,,,240,89
480.153808,2.7e-05,56,0,0,,,,,,,,,,,,,240,89
540.157319,2.7e-05,57,0,0,,,,,,,,,,,,,241,89
600.160897,2.7e-05,60,0,0,,,,,,,,,,,,,244,89
660.164335,2.7e-05,60,0,0,,,,,,,,,,,,,244,89
720.167908,2.7e-05,60,0,0,,,,,,,,,,,,,244,89
780.171188,2.7e-05,60,0,0,,,,,,,,,,,,,244,89
840.17435,2.7e-05,61,0,0,,,,,,,,,,,,,245,89
900.177564,2.7e-05,65,0,0,,,,,,,,,,,,,251,89
960.181465,2.7e-05,66,0,0,,,,,,,,,,,,,252,89
1020.184789,2.7e-05,66,0,0,,,,,,,,,,,,,252,89
1080.192392,2.7e-05,67,0,0,,,,,,,,,,,,,253,89
1140.207793,2.7e-05,67,0,0,,,,,,,,,,,,,253,89
1200.211001,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1260.214368,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1320.217859,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1380.222191,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1440.229244,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1500.234506,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1560.243906,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1620.252494,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1680.257059,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1740.262532,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1800.267157,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1860.273037,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1920.282975,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
1980.289269,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
2040.294228,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
2100.312671,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
2160.318388,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
2220.322121,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
2280.326596,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
2340.338644,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
2400.343474,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
2460.348498,2.7e-05,68,0,0,,,,,,,,,,,,,254,89
2520.357374,2.7e-05,69,0,0,,,,,,,,,,,,,255,89
2580.376016,2.7e-05,70,0,0,,,,,,,,,,,,,256,89
2640.379909,2.7e-05,75,0,0,,,,,,,,,,,,,261,89
2700.382873,2.7e-05,75,0,0,,,,,,,,,,,,,261,89
2760.386337,2.7e-05,75,0,0,,,,,,,,,,,,,261,89
2820.390554,2.7e-05,75,0,0,,,,,,,,,,,,,261,89
2880.394833,2.7e-05,75,0,0,,,,,,,,,,,,,261,89
2940.405348,2.7e-05,78,0,0,,,,,,,,,,,,,291,89
3000.40962,2.7e-05,78,0,0,,,,,,,,,,,,,291,89
3060.41501,2.7e-05,79,0,0,,,,,,,,,,,,,292,89
3120.419475,2.7e-05,79,0,0,,,,,,,,,,,,,292,89
3180.452571,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3240.449913,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3300.455321,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3360.463429,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3420.468352,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3480.472561,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3540.477616,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3600.482706,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3660.487568,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3720.49255,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3780.496432,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3840.500295,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3900.504208,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
3960.508305,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4020.512523,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4080.516111,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4140.519985,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4200.524668,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4260.528527,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4320.532493,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4380.536252,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4440.540006,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4500.550975,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4560.555653,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4620.560954,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4680.571885,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4740.576273,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4800.580353,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4860.584227,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4921.22006,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
4980.606964,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
5040.612202,2.7e-05,80,0,0,,,,,,,,,,,,,293,89
5100.615833,2.7e-05,81,0,0,,,,,,,,,,,,,294,89
5160.64082,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
5220.711009,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
5280.711374,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
5340.798962,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
5400.745842,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
5460.749644,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
5520.753918,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
5580.765703,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
5640.769271,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
5700.772929,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
5760.776509,2.7e-05,82,0,0,,,,,,,,,,,,,302,89
