time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
49.485439,11.14305,386,0,0,,,,,,,,,,,,,3717,1186
60.103714,21.758383,386,3,20,,,,,,,,,,,,,3717,1186
87.381021,49.035604,385,3,20,0.0,,,,,,,,,,,,3716,1186
120.114438,81.766613,383,8,38,0.0,,,,,,,,,,,,3713,1186
137.043576,98.695662,381,8,38,0.0,,,,,,,,,,,,3711,1186
180.1531,141.802657,381,8,57,0.0,,,,,,,,,,,,3711,1186
215.044195,176.693665,381,8,57,0.0,,,,,,,,,,,,3711,1186
240.17572,201.822376,381,13,73,0.0,,,,,,,,,,,,3711,1186
300.182851,261.829508,381,13,73,0.0,,,,,,,,,,,,3711,1186
311.072768,272.719338,380,13,73,0.0,,,,,,,,,,,,3710,1186
360.190256,321.833731,380,14,93,0.0,,,,,,,,,,,,3710,1186
420.213457,381.856931,379,14,93,0.0,,,,,,,,,,,,3693,1186
446.196965,407.840329,379,14,93,0.0,,,,,,,,,,,,3693,1186
480.239601,441.879428,379,20,112,0.0,,,,,,,,,,,,3693,1186
540.266331,501.906162,379,20,112,0.0,,,,,,,,,,,,3693,1186
600.281141,561.920972,379,20,112,0.0,,,,,,,,,,,,3693,1186
619.070737,580.710478,379,20,112,0.0,,,,,,,,,,,,3693,1186
660.29648,621.931554,379,30,131,0.0,,,,,,,,,,,,3693,1186
720.321723,681.956798,379,30,131,0.0,,,,,,,,,,,,3693,1186
778.860663,740.49565,378,30,131,0.0,,,,,,,,,,,,3690,1186
780.323662,741.954246,378,34,151,0.0,,,,,,,,,,,,3690,1186
840.352387,801.982969,378,34,151,0.0,,,,,,,,,,,,3690,1186
900.376981,862.007565,378,34,151,0.0,,,,,,,,,,,,3690,1186
951.346064,912.976558,377,34,151,0.0,,,,,,,,,,,,3689,1186
960.388097,922.013863,377,36,170,0.0,,,,,,,,,,,,3689,1186
1020.400306,982.026074,377,36,170,0.0,,,,,,,,,,,,3689,1186
1080.419188,1042.044956,374,36,170,0.0,,,,,,,,,,,,3684,1186
1135.524069,1097.149749,373,36,170,0.0,,,,,,,,,,,,3677,1186
1140.441025,1102.061402,373,44,189,0.0,,,,,,,,,,,,3677,1186
1200.461812,1162.082189,373,44,189,0.0,,,,,,,,,,,,3677,1186
1260.496835,1222.117212,373,44,189,0.0,,,,,,,,,,,,3677,1186
1320.522571,1282.142947,372,44,189,0.0,,,,,,,,,,,,3675,1186
1380.542999,1342.163376,372,44,189,0.0,,,,,,,,,,,,3675,1186
1403.71371,1365.333998,372,44,189,0.0,,,,,,,,,,,,3675,1186
1440.562605,1402.176924,372,52,205,0.0,,,,,,,,,,,,3675,1186
1500.590717,1462.205036,372,52,205,0.0,,,,,,,,,,,,3675,1186
1560.625745,1522.24007,372,52,205,0.0,,,,,,,,,,,,3675,1186
1620.671816,1582.286137,372,52,205,0.0,,,,,,,,,,,,3675,1186
1640.309398,1601.923625,371,52,205,0.0,,,,,,,,,,,,3660,1186
1680.690744,1642.298095,371,60,224,0.0,,,,,,,,,,,,3660,1186
1740.721648,1702.328997,371,60,224,0.0,,,,,,,,,,,,3660,1186
1800.750715,1762.358064,371,60,224,0.0,,,,,,,,,,,,3660,1186
1860.773206,1822.380558,370,60,224,0.0,,,,,,,,,,,,3659,1186
1901.380025,1862.987282,369,60,224,0.0,,,,,,,,,,,,3657,1186
1920.787858,1882.387972,369,63,243,0.0,,,,,,,,,,,,3657,1186
1980.823146,1942.423261,369,63,243,0.0,,,,,,,,,,,,3657,1186
2040.832791,2002.432911,369,63,243,0.0,,,,,,,,,,,,3657,1186
2100.865845,2062.465974,369,63,243,0.0,,,,,,,,,,,,3657,1186
2160.895761,2122.495878,369,63,243,0.0,,,,,,,,,,,,3657,1186
2220.909965,2182.510089,369,63,243,0.0,,,,,,,,,,,,3657,1186
2280.923313,2242.523434,369,63,243,0.0,,,,,,,,,,,,3657,1186
2340.94993,2302.550048,369,63,243,0.0,,,,,,,,,,,,3657,1186
2353.496192,2315.096184,369,63,243,0.0,,,,,,,,,,,,3657,1186
2400.987454,2362.570497,369,77,261,0.0,,,,,,,,,,,,3657,1186
2461.007364,2422.590407,369,77,261,0.0,,,,,,,,,,,,3657,1186
2521.047469,2482.630526,369,77,261,0.0,,,,,,,,,,,,3657,1186
2581.067605,2542.650654,369,77,261,0.0,,,,,,,,,,,,3657,1186
2641.09011,2602.673152,369,77,261,0.0,,,,,,,,,,,,3657,1186
2701.136948,2662.719992,368,77,261,0.0,,,,,,,,,,,,3655,1186
2761.163931,2722.746973,368,77,261,0.0,,,,,,,,,,,,3655,1186
2821.301599,2782.884648,367,77,261,0.0,,,,,,,,,,,,3654,1186
2881.215202,2842.79825,367,77,261,0.0,,,,,,,,,,,,3654,1186
2941.226924,2902.809966,367,77,261,0.0,,,,,,,,,,,,3654,1186
2961.739666,2923.322593,367,77,261,0.0,,,,,,,,,,,,3654,1186
3001.251931,2962.816826,367,93,281,0.0,,,,,,,,,,,,3654,1186
3061.271814,3022.836705,367,93,281,0.0,,,,,,,,,,,,3654,1186
3121.308755,3082.87365,367,93,281,0.0,,,,,,,,,,,,3654,1186
3181.332609,3142.897502,367,93,281,0.0,,,,,,,,,,,,3654,1186
3241.352244,3202.91714,367,93,281,0.0,,,,,,,,,,,,3654,1186
3301.396415,3262.961315,367,93,281,0.0,,,,,,,,,,,,3654,1186
3361.41401,3322.978916,367,93,281,0.0,,,,,,,,,,,,3654,1186
3421.44429,3383.00919,366,93,281,0.0,,,,,,,,,,,,3653,1186
3481.488617,3443.05352,366,93,281,0.0,,,,,,,,,,,,3653,1186
3541.518037,3503.082941,366,93,281,0.0,,,,,,,,,,,,3653,1186
3563.283814,3524.848537,366,93,281,0.0,,,,,,,,,,,,3653,1186
3601.54578,3563.091097,366,93,299,0.0,,,,,,,,,,,,3653,1186
3661.550824,3623.096135,366,93,299,0.0,,,,,,,,,,,,3653,1186
3742.207438,3705.287034,366,93,299,0.0,,,,,,,,,,,,3653,1186
3820.009357,3782.607569,366,93,299,0.0,,,,,,,,,,,,3653,1186
3875.52508,3837.070384,366,93,299,0.0,,,,,,,,,,,,3653,1186
3935.556192,3897.101491,366,93,299,0.0,,,,,,,,,,,,3653,1186
3995.55957,3957.10488,366,93,299,0.0,,,,,,,,,,,,3653,1186
4055.572496,4017.117798,366,93,299,0.0,,,,,,,,,,,,3653,1186
4115.588797,4077.134097,365,93,299,0.0,,,,,,,,,,,,3652,1186
4158.337393,4119.882572,365,93,299,0.0,,,,,,,,,,,,3652,1186
4175.62232,4137.153283,365,106,318,0.0,,,,,,,,,,,,3652,1186
4235.649643,4197.180601,365,106,318,0.0,,,,,,,,,,,,3652,1186
4295.671315,4257.202278,365,106,318,0.0,,,,,,,,,,,,3652,1186
4355.685673,4317.216632,365,106,318,0.0,,,,,,,,,,,,3652,1186
4415.713018,4377.243979,364,106,318,0.0,,,,,,,,,,,,3642,1186
4475.737902,4437.268865,364,106,318,0.0,,,,,,,,,,,,3642,1186
4535.753667,4497.284628,363,106,318,0.0,,,,,,,,,,,,3641,1186
4539.692691,4501.223561,363,106,318,0.0,,,,,,,,,,,,3641,1186
4595.772186,4557.286768,363,117,337,0.0,,,,,,,,,,,,3641,1186
4655.819438,4617.334021,363,117,337,0.0,,,,,,,,,,,,3641,1186
4715.839184,4677.353777,363,117,337,0.0,,,,,,,,,,,,3641,1186
4775.864536,4737.379118,363,117,337,0.0,,,,,,,,,,,,3641,1186
4835.878924,4797.393513,362,117,337,0.0,,,,,,,,,,,,3640,1186
4895.899824,4857.414411,360,117,337,0.0,,,,,,,,,,,,3635,1186
4943.178544,4904.693008,359,117,337,0.0,,,,,,,,,,,,3633,1186
4955.918707,4910.213291,371,131,355,0.0,,,,,,,,,,,,3745,1186
5015.932162,4970.226748,371,131,355,0.0,,,,,,,,,,,,3745,1186
5075.967034,5030.261621,371,131,355,0.0,,,,,,,,,,,,3745,1186
5135.991382,5090.285966,371,131,355,0.0,,,,,,,,,,,,3745,1186
5196.013404,5150.307992,371,131,355,0.0,,,,,,,,,,,,3745,1186
5256.054334,5210.348925,371,131,355,0.0,,,,,,,,,,,,3745,1186
5316.062774,5270.357362,371,131,355,0.0,,,,,,,,,,,,3745,1186
5376.073812,5330.368397,370,131,355,0.0,,,,,,,,,,,,3744,1186
5436.089294,5390.383879,370,131,355,0.0,,,,,,,,,,,,3744,1186
5444.215549,5398.510028,370,131,355,0.0,,,,,,,,,,,,3744,1186
5496.120712,5430.927591,390,135,371,0.0,,,,,,,,,,,,3793,1193
5556.16042,5490.967301,390,135,371,0.0,,,,,,,,,,,,3793,1193
5616.179344,5550.986227,390,135,371,0.0,,,,,,,,,,,,3793,1193
5676.200059,5611.006938,390,135,371,0.0,,,,,,,,,,,,3793,1193
5736.21691,5671.023789,390,135,371,0.0,,,,,,,,,,,,3793,1193
5796.236935,5731.043818,390,135,371,0.0,,,,,,,,,,,,3793,1193
5856.255281,5791.062161,390,135,371,0.0,,,,,,,,,,,,3793,1193
5916.289559,5851.096439,390,135,371,0.0,,,,,,,,,,,,3793,1193
5976.324706,5911.131592,390,135,371,0.0,,,,,,,,,,,,3793,1193
6036.358908,5971.165788,390,135,371,0.0,,,,,,,,,,,,3793,1193
6065.608132,6000.414906,390,135,371,0.0,,,,,,,,,,,,3793,1193
6096.387908,6026.859359,412,140,390,0.0,,,,,,,,,,,,3850,1198
6156.420574,6086.89203,412,140,390,0.0,,,,,,,,,,,,3850,1198
6216.435277,6146.906727,412,140,390,0.0,,,,,,,,,,,,3850,1198
6276.474315,6206.945767,412,140,390,0.0,,,,,,,,,,,,3850,1198
6336.52152,6266.99298,412,140,390,0.0,,,,,,,,,,,,3850,1198
6396.525712,6326.997159,412,140,390,0.0,,,,,,,,,,,,3850,1198
6456.553194,6387.024645,412,140,390,0.0,,,,,,,,,,,,3850,1198
6516.588465,6447.059916,412,140,390,0.0,,,,,,,,,,,,3850,1198
6576.605929,6507.077377,412,140,390,0.0,,,,,,,,,,,,3850,1198
6636.637101,6567.10856,412,140,390,0.0,,,,,,,,,,,,3850,1198
6696.656903,6627.128353,412,140,390,0.0,,,,,,,,,,,,3850,1198
6756.6805,6687.151948,412,140,390,0.0,,,,,,,,,,,,3850,1198
6816.698106,6747.169553,412,140,390,0.0,,,,,,,,,,,,3850,1198
6876.730845,6807.202295,412,140,390,0.0,,,,,,,,,,,,3850,1198
6936.752305,6867.223755,412,140,390,0.0,,,,,,,,,,,,3850,1198
6996.769455,6927.240906,412,140,390,0.0,,,,,,,,,,,,3850,1198
7032.855614,6963.326927,412,140,390,0.0,,,,,,,,,,,,3850,1198
7056.796384,6964.351124,430,142,410,0.0,,,,,,,,,,,,3892,1204
7116.804061,7024.358802,430,142,410,0.0,,,,,,,,,,,,3892,1204
7176.824809,7084.379536,430,142,410,0.0,,,,,,,,,,,,3892,1204
7236.847726,7144.402451,430,142,410,0.0,,,,,,,,,,,,3892,1204
7296.875143,7204.42987,430,142,410,0.0,,,,,,,,,,,,3892,1204
7356.908859,7264.463584,430,142,410,0.0,,,,,,,,,,,,3892,1204
7416.936504,7324.491237,430,142,410,0.0,,,,,,,,,,,,3892,1204
7476.953553,7384.508275,430,142,410,0.0,,,,,,,,,,,,3892,1204
7536.978139,7444.532867,430,142,410,0.0,,,,,,,,,,,,3892,1204
7596.991568,7504.546294,430,142,410,0.0,,,,,,,,,,,,3892,1204
7657.019085,7564.573817,430,142,410,0.0,,,,,,,,,,,,3892,1204
7717.030963,7624.585684,430,142,410,0.0,,,,,,,,,,,,3892,1204
7777.066489,7684.621216,430,142,410,0.0,,,,,,,,,,,,3892,1204
7837.081931,7744.636653,430,142,410,0.0,,,,,,,,,,,,3892,1204
7868.092045,7775.646626,430,142,410,0.0,,,,,,,,,,,,3892,1204
7897.113061,7801.575434,450,143,430,0.0,,,,,,,,,,,,3930,1206
7957.138045,7861.600416,450,143,430,0.0,,,,,,,,,,,,3930,1206
8017.154363,7921.616752,450,143,430,0.0,,,,,,,,,,,,3930,1206
8077.173753,7981.636123,450,143,430,0.0,,,,,,,,,,,,3930,1206
8137.210793,8041.673165,450,143,430,0.0,,,,,,,,,,,,3930,1206
8197.231313,8101.693685,450,143,430,0.0,,,,,,,,,,,,3930,1206
8257.247551,8161.709923,450,143,430,0.0,,,,,,,,,,,,3930,1206
8317.276294,8221.738666,450,143,430,0.0,,,,,,,,,,,,3930,1206
8377.287821,8281.750192,450,143,430,0.0,,,,,,,,,,,,3930,1206
8437.315044,8341.777422,450,143,430,0.0,,,,,,,,,,,,3930,1206
8497.330879,8401.79325,450,143,430,0.0,,,,,,,,,,,,3930,1206
8557.362546,8461.82492,450,143,430,0.0,,,,,,,,,,,,3930,1206
8613.660367,8518.122621,450,143,430,0.0,,,,,,,,,,,,3930,1206
8617.379344,8518.122621,453,148,450,0.0,,,,,,,,,,,,3934,1206
8677.395596,8566.255536,472,148,450,0.0,,,,,,,,,,,,3999,1216
8737.433233,8626.293182,472,148,450,0.0,,,,,,,,,,,,3999,1216
8797.467701,8686.327636,472,148,450,0.0,,,,,,,,,,,,3999,1216
8857.481846,8746.341784,472,148,450,0.0,,,,,,,,,,,,3999,1216
8917.503934,8806.363871,472,148,450,0.0,,,,,,,,,,,,3999,1216
8977.529127,8866.389064,472,148,450,0.0,,,,,,,,,,,,3999,1216
9037.552182,8926.412121,472,148,450,0.0,,,,,,,,,,,,3999,1216
9097.574095,8986.434032,472,148,450,0.0,,,,,,,,,,,,3999,1216
9157.5921,9046.452043,472,148,450,0.0,,,,,,,,,,,,3999,1216
9217.616667,9106.476606,472,148,450,0.0,,,,,,,,,,,,3999,1216
9277.635864,9166.495804,472,148,450,0.0,,,,,,,,,,,,3999,1216
9337.666848,9226.526786,472,148,450,0.0,,,,,,,,,,,,3999,1216
9397.682699,9286.542637,472,148,450,0.0,,,,,,,,,,,,3999,1216
9457.713013,9346.572951,472,148,450,0.0,,,,,,,,,,,,3999,1216
9518.817872,9407.677688,472,148,450,0.0,,,,,,,,,,,,3999,1216
9518.841617,9407.677688,472,152,470,0.0,,,,,,,,,,,,3999,1216
9577.76696,9453.48081,490,152,470,0.0,,,,,,,,,,,,4064,1218
9637.786027,9513.499867,490,152,470,0.0,,,,,,,,,,,,4064,1218
9697.789769,9573.503611,490,152,470,0.0,,,,,,,,,,,,4064,1218
9757.831649,9633.545499,490,152,470,0.0,,,,,,,,,,,,4064,1218
9817.867753,9693.581596,490,152,470,0.0,,,,,,,,,,,,4064,1218
9877.895391,9753.609243,490,152,470,0.0,,,,,,,,,,,,4064,1218
9937.922011,9813.635854,490,152,470,0.0,,,,,,,,,,,,4064,1218
9997.951309,9873.66516,490,152,470,0.0,,,,,,,,,,,,4064,1218
10057.970493,9933.684348,490,152,470,0.0,,,,,,,,,,,,4064,1218
10117.999343,9993.713186,490,152,470,0.0,,,,,,,,,,,,4064,1218
10178.030485,10053.74433,490,152,470,0.0,,,,,,,,,,,,4064,1218
10238.049299,10113.763146,490,152,470,0.0,,,,,,,,,,,,4064,1218
10298.078953,10173.792799,490,152,470,0.0,,,,,,,,,,,,4064,1218
10358.119837,10233.83368,490,152,470,0.0,,,,,,,,,,,,4064,1218
10418.140562,10293.854406,490,152,470,0.0,,,,,,,,,,,,4064,1218
10478.161666,10353.875508,490,152,470,0.0,,,,,,,,,,,,4064,1218
10487.958706,10363.672429,490,152,470,0.0,,,,,,,,,,,,4064,1218
10538.194706,10405.538904,510,160,490,0.0,,,,,,,,,,,,4120,1226
10598.248212,10465.59243,510,160,490,0.0,,,,,,,,,,,,4120,1226
10658.252988,10525.59719,510,160,490,0.0,,,,,,,,,,,,4120,1226
10718.267019,10585.611219,510,160,490,0.0,,,,,,,,,,,,4120,1226
10778.279072,10645.623272,510,160,490,0.0,,,,,,,,,,,,4120,1226
10838.317885,10705.662084,510,160,490,0.0,,,,,,,,,,,,4120,1226
10898.343062,10765.687261,510,160,490,0.0,,,,,,,,,,,,4120,1226
10958.366788,10825.71099,510,160,490,0.0,,,,,,,,,,,,4120,1226
11018.380044,10885.724242,510,160,490,0.0,,,,,,,,,,,,4120,1226
11078.403262,10945.747458,510,160,490,0.0,,,,,,,,,,,,4120,1226
11138.42506,11005.769257,510,160,490,0.0,,,,,,,,,,,,4120,1226
11198.455411,11065.79961,510,160,490,0.0,,,,,,,,,,,,4120,1226
11258.474361,11125.818589,510,160,490,0.0,,,,,,,,,,,,4120,1226
11318.497251,11185.84145,510,160,490,0.0,,,,,,,,,,,,4120,1226
11378.500884,11245.845081,510,160,490,0.0,,,,,,,,,,,,4120,1226
11438.519752,11305.863949,510,160,490,0.0,,,,,,,,,,,,4120,1226
11498.543213,11365.887419,510,160,490,0.0,,,,,,,,,,,,4120,1226
11558.55977,11425.903969,510,160,490,0.0,,,,,,,,,,,,4120,1226
11618.585325,11485.929527,510,160,490,0.0,,,,,,,,,,,,4120,1226
11678.601779,11545.945981,510,160,490,0.0,,,,,,,,,,,,4120,1226
11739.784194,11607.128274,510,160,490,0.0,,,,,,,,,,,,4120,1226
11739.809822,11607.128274,510,169,510,0.0,,,,,,,,,,,,4120,1226
11798.671517,11607.128274,524,169,510,0.0,,,,,,,,,,,,4154,1226
11858.700551,11619.947277,530,169,510,0.0,,,,,,,,,,,,4163,1229
11918.718799,11679.965526,530,169,510,0.0,,,,,,,,,,,,4163,1229
11978.743088,11739.989818,530,169,510,0.0,,,,,,,,,,,,4163,1229
12038.753669,11800.000394,530,169,510,0.0,,,,,,,,,,,,4163,1229
12098.777554,11860.024281,530,169,510,0.0,,,,,,,,,,,,4163,1229
12158.807295,11920.054025,530,169,510,0.0,,,,,,,,,,,,4163,1229
12218.823647,11980.070377,530,169,510,0.0,,,,,,,,,,,,4163,1229
12278.845429,12040.092155,530,169,510,0.0,,,,,,,,,,,,4163,1229
12338.888654,12100.135386,530,169,510,0.0,,,,,,,,,,,,4163,1229
12398.900851,12160.147578,530,169,510,0.0,,,,,,,,,,,,4163,1229
12458.923174,12220.169905,530,169,510,0.0,,,,,,,,,,,,4163,1229
12518.957968,12280.204695,530,169,510,0.0,,,,,,,,,,,,4163,1229
12578.975112,12340.22184,530,169,510,0.0,,,,,,,,,,,,4163,1229
12639.001932,12400.24866,530,169,510,0.0,,,,,,,,,,,,4163,1229
12699.029558,12460.276284,530,169,510,0.0,,,,,,,,,,,,4163,1229
12759.053148,12520.299876,530,169,510,0.0,,,,,,,,,,,,4163,1229
12819.077978,12580.324705,530,169,510,0.0,,,,,,,,,,,,4163,1229
12879.094468,12640.341192,530,169,510,0.0,,,,,,,,,,,,4163,1229
12939.116141,12700.362867,530,169,510,0.0,,,,,,,,,,,,4163,1229
12982.403579,12743.650188,530,169,510,0.0,,,,,,,,,,,,4163,1229
12999.142456,12743.650188,535,174,530,0.0,,,,,,,,,,,,4176,1229
13059.160217,12743.650188,541,174,530,0.0,,,,,,,,,,,,4185,1229
13119.183103,12743.650188,543,174,530,0.0,,,,,,,,,,,,4192,1235
13179.193335,12743.650188,543,174,530,0.0,,,,,,,,,,,,4192,1235
13239.235157,12743.650188,543,174,530,0.0,,,,,,,,,,,,4192,1235
13299.245622,12743.650188,545,174,530,0.0,,,,,,,,,,,,4194,1236
13359.283174,12743.650188,545,174,530,0.0,,,,,,,,,,,,4194,1236
13419.30324,12743.650188,548,174,530,0.0,,,,,,,,,,,,4203,1241
13479.33752,12743.650188,548,174,530,0.0,,,,,,,,,,,,4203,1241
13539.359406,12763.420512,550,174,530,0.0,,,,,,,,,,,,4206,1242
13599.386561,12823.447673,550,174,530,0.0,,,,,,,,,,,,4206,1242
13659.399842,12883.460945,550,174,530,0.0,,,,,,,,,,,,4206,1242
13719.43482,12943.495924,550,174,530,0.0,,,,,,,,,,,,4206,1242
13779.452109,13003.513215,550,174,530,0.0,,,,,,,,,,,,4206,1242
13839.481081,13063.542187,550,174,530,0.0,,,,,,,,,,,,4206,1242
13899.492673,13123.553776,550,174,530,0.0,,,,,,,,,,,,4206,1242
13959.517374,13183.578479,550,174,530,0.0,,,,,,,,,,,,4206,1242
14019.531236,13243.592343,550,174,530,0.0,,,,,,,,,,,,4206,1242
14079.550706,13303.611811,550,174,530,0.0,,,,,,,,,,,,4206,1242
14139.575563,13363.636669,550,174,530,0.0,,,,,,,,,,,,4206,1242
14199.607737,13423.668843,549,174,530,0.0,,,,,,,,,,,,4204,1242
14259.633016,13483.694121,549,174,530,0.0,,,,,,,,,,,,4204,1242
14319.664667,13543.725775,549,174,530,0.0,,,,,,,,,,,,4204,1242
14379.678673,13603.73978,549,174,530,0.0,,,,,,,,,,,,4204,1242
14439.708366,13663.769472,549,174,530,0.0,,,,,,,,,,,,4204,1242
14499.736055,13723.797166,549,174,530,0.0,,,,,,,,,,,,4204,1242
14559.766962,13783.828066,549,174,530,0.0,,,,,,,,,,,,4204,1242
14619.795371,13843.856477,549,174,530,0.0,,,,,,,,,,,,4204,1242
14662.95868,13887.019652,549,174,530,0.0,,,,,,,,,,,,4204,1242
14679.81404,13887.019652,557,180,550,0.0,,,,,,,,,,,,4241,1245
14739.85154,13887.019652,564,180,550,0.0,,,,,,,,,,,,4263,1245
14799.886482,13905.021998,569,180,550,0.0,,,,,,,,,,,,4272,1247
14859.90422,13965.039738,569,180,550,0.0,,,,,,,,,,,,4272,1247
14919.977014,14025.112548,569,180,550,0.0,,,,,,,,,,,,4272,1247
14979.954932,14085.090445,569,180,550,0.0,,,,,,,,,,,,4272,1247
15040.030822,14145.166352,569,180,550,0.0,,,,,,,,,,,,4272,1247
15100.007563,14205.143077,569,180,550,0.0,,,,,,,,,,,,4272,1247
15160.048606,14265.184119,569,180,550,0.0,,,,,,,,,,,,4272,1247
15220.064513,14325.20003,569,180,550,0.0,,,,,,,,,,,,4272,1247
15280.085629,14385.221149,569,180,550,0.0,,,,,,,,,,,,4272,1247
15340.112748,14445.248262,569,180,550,0.0,,,,,,,,,,,,4272,1247
15400.122655,14505.258168,569,180,550,0.0,,,,,,,,,,,,4272,1247
15460.156453,14565.291967,569,180,550,0.0,,,,,,,,,,,,4272,1247
15520.171452,14625.306966,569,180,550,0.0,,,,,,,,,,,,4272,1247
15580.192629,14685.328145,569,180,550,0.0,,,,,,,,,,,,4272,1247
15640.218874,14745.35439,569,180,550,0.0,,,,,,,,,,,,4272,1247
15700.262476,14805.397996,569,180,550,0.0,,,,,,,,,,,,4272,1247
15760.284892,14865.420406,569,180,550,0.0,,,,,,,,,,,,4272,1247
15820.310695,14925.446213,569,180,550,0.0,,,,,,,,,,,,4272,1247
15880.333037,14985.468552,569,180,550,0.0,,,,,,,,,,,,4272,1247
15940.350992,15045.486506,569,180,550,0.0,,,,,,,,,,,,4272,1247
16000.386565,15105.52208,569,180,550,0.0,,,,,,,,,,,,4272,1247
16060.405679,15165.541192,569,180,550,0.0,,,,,,,,,,,,4272,1247
16067.426233,15172.561608,569,180,550,0.0,,,,,,,,,,,,4272,1247
16120.426003,15172.561608,575,191,569,0.0,,,,,,,,,,,,4289,1248
16180.462325,15172.561608,575,191,569,0.0,,,,,,,,,,,,4289,1248
16240.4818,15172.561608,575,191,569,0.0,,,,,,,,,,,,4289,1248
16300.505972,15172.561608,575,191,569,0.0,,,,,,,,,,,,4289,1248
16360.546357,15172.561608,575,191,569,0.0,,,,,,,,,,,,4289,1248
16420.585864,15172.561608,575,191,569,0.0,,,,,,,,,,,,4289,1248
16480.604181,15172.561608,575,191,569,0.0,,,,,,,,,,,,4289,1248
16540.62807,15172.561608,575,191,569,0.0,,,,,,,,,,,,4289,1248
16600.661159,15172.561608,576,191,569,0.0,,,,,,,,,,,,4290,1248
16660.682132,15172.561608,576,191,569,0.0,,,,,,,,,,,,4290,1248
16720.719884,15172.561608,576,191,569,0.0,,,,,,,,,,,,4290,1248
16780.766743,15172.561608,576,191,569,0.0,,,,,,,,,,,,4290,1248
16840.796876,15172.561608,577,191,569,0.0,,,,,,,,,,,,4291,1248
16900.815133,15172.561608,577,191,569,0.0,,,,,,,,,,,,4291,1248
16960.831445,15172.561608,577,191,569,0.0,,,,,,,,,,,,4291,1248
17020.867842,15172.561608,577,191,569,0.0,,,,,,,,,,,,4291,1248
17080.892859,15172.561608,577,191,569,0.0,,,,,,,,,,,,4291,1248
17140.907848,15172.561608,577,191,569,0.0,,,,,,,,,,,,4291,1248
17200.937038,15172.561608,577,191,569,0.0,,,,,,,,,,,,4291,1248
17260.962644,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17320.976094,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17381.0149,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17441.01811,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17501.05691,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17561.074866,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17621.098033,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17681.139628,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17741.166919,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17801.197991,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17861.226546,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17921.26266,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
17981.284342,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
18041.314129,15172.561608,578,191,569,0.0,,,,,,,,,,,,4293,1248
18101.336797,15172.561608,579,191,569,0.0,,,,,,,,,,,,4294,1248
18161.365861,15172.561608,579,191,569,0.0,,,,,,,,,,,,4294,1248
18221.377904,15172.561608,579,191,569,0.0,,,,,,,,,,,,4294,1248
