time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.116326,38.199459,20,0,0,,,,,,,,,,,,,5279,1947
120.122985,98.206119,20,0,0,,,,,,,,,,,,,5279,1947
180.217749,158.300882,20,0,0,,,,,,,,,,,,,5279,1947
240.226261,218.3094,20,0,0,,,,,,,,,,,,,5279,1947
287.501205,265.584228,20,0,0,,,,,,,,,,,,,5279,1947
300.269854,265.584228,32,1,20,,,,,,,,,,,,,5612,1985
360.288362,309.726878,41,1,20,,,,,,,,,,,,,5840,2020
420.299806,369.738322,41,1,20,,,,,,,,,,,,,5840,2020
480.451155,429.889669,41,1,20,,,,,,,,,,,,,5840,2020
540.355431,489.793948,41,1,20,,,,,,,,,,,,,5840,2020
600.563522,550.002041,41,1,20,,,,,,,,,,,,,5840,2020
660.643317,610.081831,41,1,20,,,,,,,,,,,,,5840,2020
720.612012,670.050524,41,1,20,,,,,,,,,,,,,5840,2020
780.50849,729.947006,41,1,20,,,,,,,,,,,,,5840,2020
840.550833,789.989346,41,1,20,,,,,,,,,,,,,5840,2020
900.528507,849.967019,41,1,20,,,,,,,,,,,,,5840,2020
960.582437,910.02095,41,1,20,,,,,,,,,,,,,5840,2020
1020.600118,970.038631,41,1,20,,,,,,,,,,,,,5840,2020
1080.661386,1030.099898,41,1,20,,,,,,,,,,,,,5840,2020
1139.577812,1089.016239,41,1,20,0.0,,,,,,,,,,,,5840,2020
1140.715219,1089.016239,41,1,40,0.0,,,,,,,,,,,,5840,2020
1200.785326,1134.71011,60,1,40,0.0,,,,,,,,,,,,6312,2085
1260.737499,1194.662288,60,1,40,0.0,,,,,,,,,,,,6312,2085
1320.824589,1254.749375,60,1,40,0.0,,,,,,,,,,,,6312,2085
1380.782733,1314.707518,60,1,40,0.0,,,,,,,,,,,,6312,2085
1440.854622,1374.779406,60,1,40,0.0,,,,,,,,,,,,6312,2085
1500.871681,1434.796468,60,1,40,0.0,,,,,,,,,,,,6312,2085
1560.878531,1494.803319,60,1,40,0.0,,,,,,,,,,,,6312,2085
1620.933296,1554.858081,60,1,40,0.0,,,,,,,,,,,,6312,2085
1681.032402,1614.957189,60,1,40,0.0,,,,,,,,,,,,6312,2085
1740.964969,1674.889752,60,1,40,0.0,,,,,,,,,,,,6312,2085
1801.007739,1734.932524,60,1,40,0.0,,,,,,,,,,,,6312,2085
1861.076493,1795.00128,60,1,40,0.0,,,,,,,,,,,,6312,2085
1921.123839,1855.048623,60,1,40,0.0,,,,,,,,,,,,6312,2085
1981.254275,1915.179062,60,1,40,0.0,,,,,,,,,,,,6312,2085
2041.164589,1975.089375,60,1,40,0.0,,,,,,,,,,,,6312,2085
2101.203779,2035.128565,60,1,40,0.0,,,,,,,,,,,,6312,2085
2161.289781,2095.214567,60,1,40,0.0,,,,,,,,,,,,6312,2085
2221.276368,2155.201152,60,1,40,0.0,,,,,,,,,,,,6312,2085
2281.282538,2215.207325,60,1,40,0.0,,,,,,,,,,,,6312,2085
2314.204231,2248.128932,60,1,40,0.0,,,,,,,,,,,,6312,2085
2341.452155,2248.128932,85,3,60,0.0,,,,,,,,,,,,7026,2140
2401.36352,2295.854365,93,3,60,0.0,,,,,,,,,,,,7278,2147
2461.394127,2355.884973,93,3,60,0.0,,,,,,,,,,,,7278,2147
2521.407503,2415.898347,93,3,60,0.0,,,,,,,,,,,,7278,2147
2581.434679,2475.925526,93,3,60,0.0,,,,,,,,,,,,7278,2147
2641.471032,2535.961877,93,3,60,0.0,,,,,,,,,,,,7278,2147
2701.613003,2596.103848,93,3,60,0.0,,,,,,,,,,,,7278,2147
2761.590248,2656.081092,93,3,60,0.0,,,,,,,,,,,,7278,2147
2821.555918,2716.046764,93,3,60,0.0,,,,,,,,,,,,7278,2147
2881.680528,2776.171372,93,3,60,0.0,,,,,,,,,,,,7278,2147
2941.766249,2836.257095,93,3,60,0.0,,,,,,,,,,,,7278,2147
3001.664658,2896.155509,93,3,60,0.0,,,,,,,,,,,,7278,2147
3061.680681,2956.171525,93,3,60,0.0,,,,,,,,,,,,7278,2147
3121.700522,3016.191371,93,3,60,0.0,,,,,,,,,,,,7278,2147
3181.737464,3076.228309,93,3,60,0.0,,,,,,,,,,,,7278,2147
3241.762658,3136.253503,93,3,60,0.0,,,,,,,,,,,,7278,2147
3301.808748,3196.299592,93,3,60,0.0,,,,,,,,,,,,7278,2147
3361.917416,3256.40826,93,3,60,0.0,,,,,,,,,,,,7278,2147
3421.862217,3316.353063,93,3,60,0.0,,,,,,,,,,,,7278,2147
3481.892082,3376.382928,93,3,60,0.0,,,,,,,,,,,,7278,2147
3541.917379,3436.408226,93,3,60,0.0,,,,,,,,,,,,7278,2147
3601.948153,3496.438999,93,3,60,0.0,,,,,,,,,,,,7278,2147
3661.964063,3556.454911,93,3,60,0.0,,,,,,,,,,,,7278,2147
3722.023635,3616.51448,93,3,60,0.0,,,,,,,,,,,,7278,2147
3782.127006,3676.617848,93,3,60,0.0,,,,,,,,,,,,7278,2147
3842.060404,3736.551249,93,3,60,0.0,,,,,,,,,,,,7278,2147
3902.110791,3796.60164,93,3,60,0.0,,,,,,,,,,,,7278,2147
3962.126931,3856.617777,93,3,60,0.0,,,,,,,,,,,,7278,2147
4022.183777,3916.674623,93,3,60,0.0,,,,,,,,,,,,7278,2147
