time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
8.15115,5.211688,11,0,0,,,,,,,,,,,,,121,92
56.998123,51.360561,24,1,20,0.0,,,,,,,,,,,,155,92
60.150778,51.360561,28,1,27,0.0,,,,,,,,,,,,177,92
120.154247,103.351759,44,1,27,0.0,,,,,,,,,,,,221,95
180.168417,163.365926,44,1,27,0.0,,,,,,,,,,,,221,95
240.171632,223.369153,43,1,27,0.0,,,,,,,,,,,,219,95
282.305329,265.502751,43,1,27,0.0,,,,,,,,,,,,219,95
300.175232,265.502751,61,3,44,0.0,,,,,,,,,,,,273,101
360.178788,321.461595,63,3,44,0.0,,,,,,,,,,,,276,101
420.182734,381.465538,63,3,44,0.0,,,,,,,,,,,,276,101
480.18617,441.46899,63,3,44,0.0,,,,,,,,,,,,276,101
540.190329,501.473147,63,3,44,0.0,,,,,,,,,,,,276,101
600.203616,561.486426,63,3,44,0.0,,,,,,,,,,,,276,101
660.207867,621.490672,63,3,44,0.0,,,,,,,,,,,,276,101
720.211621,681.494428,63,3,44,0.0,,,,,,,,,,,,276,101
780.216334,741.499142,63,3,44,0.0,,,,,,,,,,,,276,101
840.224743,801.507558,63,3,44,0.0,,,,,,,,,,,,276,101
900.247049,861.529853,63,3,44,0.0,,,,,,,,,,,,276,101
901.26129,862.543989,63,3,44,0.0,,,,,,,,,,,,276,101
960.251328,862.543989,67,3,63,0.0,,,,,,,,,,,,284,101
1020.256021,862.543989,70,3,63,0.0,,,,,,,,,,,,289,101
1080.259753,862.543989,76,3,63,0.0,,,,,,,,,,,,299,101
1140.276083,880.125727,83,3,63,0.0,,,,,,,,,,,,315,103
1200.286863,940.1365,83,3,63,0.0,,,,,,,,,,,,315,103
1260.2965,1000.146146,83,3,63,0.0,,,,,,,,,,,,315,103
1320.305299,1060.154936,83,3,63,0.0,,,,,,,,,,,,315,103
1380.30871,1120.158351,83,3,63,0.0,,,,,,,,,,,,315,103
