time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.195623,2.7e-05,18,0,0,,,,,,,,,,,,,1420,722
99.710011,5.187492,1,0,0,,,,,,,,,,,,,117,722
120.225405,5.187492,16,16,20,,,,,,,,,,,,,1412,722
147.885818,14.933572,6,16,20,0.0,,,,,,,,,,,,1210,722
180.302523,14.933572,17,17,27,0.0,,,,,,,,,,,,1420,722
240.336718,14.933572,20,17,27,0.0,,,,,,,,,,,,1424,723
300.254701,14.933572,21,17,27,0.0,,,,,,,,,,,,1425,723
360.277193,14.933572,21,17,27,0.0,,,,,,,,,,,,1425,723
420.332312,14.933572,23,17,27,0.0,,,,,,,,,,,,1439,723
480.34316,14.933572,23,17,27,0.0,,,,,,,,,,,,1439,723
540.386938,14.933572,24,17,27,0.0,,,,,,,,,,,,1441,723
600.407706,17.150079,22,17,27,0.0,,,,,,,,,,,,585,723
603.975505,20.717777,1,17,27,0.0,,,,,,,,,,,,123,723
626.986092,30.283834,3,7,27,0.0,,,,,,,,,,,,758,723
660.43223,30.283834,16,21,27,0.0,,,,,,,,,,,,1426,723
720.465267,30.283834,17,21,27,0.0,,,,,,,,,,,,1426,723
780.519598,30.283834,19,21,27,0.0,,,,,,,,,,,,1439,723
840.553351,30.283834,21,21,27,0.0,,,,,,,,,,,,1443,723
900.57327,30.283834,21,21,27,0.0,,,,,,,,,,,,1443,723
960.603199,30.283834,23,21,27,0.0,,,,,,,,,,,,1447,723
1020.628717,30.283834,23,21,27,0.0,,,,,,,,,,,,1447,723
1080.648032,30.283834,23,21,27,0.0,,,,,,,,,,,,1447,723
1140.691069,30.283834,25,21,27,0.0,,,,,,,,,,,,1463,723
1178.211464,35.336069,1,21,27,0.0,,,,,,,,,,,,125,723
1200.705314,49.392157,21,9,27,0.0,,,,,,,,,,,,1015,723
1218.689602,67.376317,18,9,27,0.0,,,,,,,,,,,,802,723
1260.755124,67.376317,31,5,21,0.0,,,,,,,,,,,,1502,723
1320.754207,95.835158,35,5,21,0.0,,,,,,,,,,,,1519,723
1380.781536,155.862491,32,5,21,0.0,,,,,,,,,,,,934,723
1440.804754,215.885714,29,5,21,0.0,,,,,,,,,,,,272,723
1448.631002,223.711841,29,5,21,0.0,,,,,,,,,,,,272,723
1500.885171,223.711841,32,6,35,0.0,,,,,,,,,,,,1517,723
1560.8706,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
1620.897092,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
1680.917354,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
1740.952422,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
1800.991592,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
1861.083614,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
1921.04882,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
1981.092721,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2041.106792,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2101.146331,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2161.299101,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2221.215633,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2281.241435,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2341.288064,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2401.332187,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2461.329146,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2521.430796,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2581.447168,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2641.454284,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2701.464762,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2761.506015,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2821.545453,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2881.57336,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
2941.606694,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
3001.604895,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
3061.670297,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
3121.673288,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
3181.688262,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
3241.72223,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
3301.804272,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
3361.788001,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
3421.800566,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
3481.925558,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
3541.973207,223.711841,32,6,35,0.0,,,,,,,,,,,,1519,723
