time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.103713,2.4e-05,29,0,0,,,,,,,,,,,,,246,128
120.107299,57.161732,29,0,0,,,,,,,,,,,,,246,128
180.110691,117.165127,29,0,0,,,,,,,,,,,,,246,128
240.114552,177.168982,29,0,0,,,,,,,,,,,,,246,128
300.117748,237.172177,29,0,0,,,,,,,,,,,,,246,128
360.120876,297.175311,29,0,0,,,,,,,,,,,,,246,128
420.124204,357.178636,29,0,0,,,,,,,,,,,,,246,128
480.127621,417.182053,29,0,0,,,,,,,,,,,,,246,128
540.130953,477.185383,29,0,0,,,,,,,,,,,,,246,128
600.134356,537.188786,29,0,0,,,,,,,,,,,,,246,128
660.137765,597.192196,29,0,0,,,,,,,,,,,,,246,128
720.140857,657.195288,29,0,0,,,,,,,,,,,,,246,128
780.144112,717.198544,29,0,0,,,,,,,,,,,,,246,128
840.147518,777.201949,29,0,0,,,,,,,,,,,,,246,128
900.150849,837.205286,29,0,0,,,,,,,,,,,,,246,128
960.153997,897.208427,29,0,0,,,,,,,,,,,,,246,128
1020.15723,957.211661,29,0,0,,,,,,,,,,,,,246,128
1080.160525,1017.214957,29,0,0,,,,,,,,,,,,,246,128
1140.164197,1077.21863,29,0,0,,,,,,,,,,,,,246,128
1200.167475,1137.221905,29,0,0,,,,,,,,,,,,,246,128
1260.170526,1197.224957,29,0,0,,,,,,,,,,,,,246,128
1320.173747,1257.228176,29,0,0,,,,,,,,,,,,,246,128
1380.176955,1317.231387,29,0,0,,,,,,,,,,,,,246,128
1440.180297,1377.234727,29,0,0,,,,,,,,,,,,,246,128
1500.183873,1437.238304,29,0,0,,,,,,,,,,,,,246,128
1560.187275,1497.241704,29,0,0,,,,,,,,,,,,,246,128
1620.190311,1557.244742,29,0,0,,,,,,,,,,,,,246,128
1680.193343,1617.247774,29,0,0,,,,,,,,,,,,,246,128
1740.196662,1677.251092,29,0,0,,,,,,,,,,,,,246,128
1800.199938,1737.25437,29,0,0,,,,,,,,,,,,,246,128
1860.203105,1797.257537,29,0,0,,,,,,,,,,,,,246,128
1920.206359,1857.26079,29,0,0,,,,,,,,,,,,,246,128
1980.209683,1917.264116,29,0,0,,,,,,,,,,,,,246,128
2040.212967,1977.267399,29,0,0,,,,,,,,,,,,,246,128
2067.46172,2004.516045,29,0,0,,,,,,,,,,,,,246,128
2100.216046,2030.316431,46,1,20,,,,,,,,,,,,,286,132
2160.219494,2090.319887,46,1,20,,,,,,,,,,,,,286,132
2220.223106,2150.323495,46,1,20,,,,,,,,,,,,,286,132
2280.226771,2210.327158,46,1,20,,,,,,,,,,,,,286,132
2340.230929,2270.331312,46,1,20,,,,,,,,,,,,,286,132
2400.233497,2330.333878,46,1,20,,,,,,,,,,,,,286,132
2460.237439,2390.337825,46,1,20,,,,,,,,,,,,,286,132
2520.241737,2450.342124,46,1,20,,,,,,,,,,,,,286,132
2580.245561,2510.345952,46,1,20,,,,,,,,,,,,,286,132
2640.250102,2570.350506,46,1,20,,,,,,,,,,,,,286,132
2700.255369,2630.35576,46,1,20,,,,,,,,,,,,,286,132
2760.26043,2690.360822,46,1,20,,,,,,,,,,,,,286,132
2820.265429,2750.36582,46,1,20,,,,,,,,,,,,,286,132
2880.27034,2810.370732,46,1,20,,,,,,,,,,,,,286,132
2940.275097,2870.375484,46,1,20,,,,,,,,,,,,,286,132
3000.279368,2930.379759,46,1,20,,,,,,,,,,,,,286,132
3060.28291,2990.383301,46,1,20,,,,,,,,,,,,,286,132
3120.28785,3050.388235,46,1,20,,,,,,,,,,,,,286,132
3180.292753,3110.393139,46,1,20,,,,,,,,,,,,,286,132
3240.296392,3170.396775,46,1,20,,,,,,,,,,,,,286,132
3300.299677,3230.400061,46,1,20,,,,,,,,,,,,,286,132
3360.302941,3290.403327,46,1,20,,,,,,,,,,,,,286,132
3420.30691,3350.407302,46,1,20,,,,,,,,,,,,,286,132
3480.310039,3410.410453,46,1,20,,,,,,,,,,,,,286,132
3540.314387,3470.41478,46,1,20,,,,,,,,,,,,,286,132
3600.318401,3530.418801,46,1,20,,,,,,,,,,,,,286,132
3660.323244,3590.423637,46,1,20,,,,,,,,,,,,,286,132
3720.329047,3650.429428,46,1,20,,,,,,,,,,,,,286,132
3780.341817,3710.442211,46,1,20,,,,,,,,,,,,,286,132
3840.345644,3770.446038,46,1,20,,,,,,,,,,,,,286,132
3900.350091,3830.450478,46,1,20,,,,,,,,,,,,,286,132
3960.353864,3890.454257,46,1,20,,,,,,,,,,,,,286,132
4020.359853,3950.460244,46,1,20,,,,,,,,,,,,,286,132
4080.365187,4010.465589,46,1,20,,,,,,,,,,,,,286,132
4140.37154,4070.471927,46,1,20,,,,,,,,,,,,,286,132
4200.383286,4130.483679,46,1,20,,,,,,,,,,,,,286,132
4260.387083,4190.487465,46,1,20,,,,,,,,,,,,,286,132
4320.390175,4250.490563,46,1,20,,,,,,,,,,,,,286,132
4380.393373,4310.49376,46,1,20,,,,,,,,,,,,,286,132
4440.396263,4370.496649,46,1,20,,,,,,,,,,,,,286,132
4500.399931,4430.500326,46,1,20,,,,,,,,,,,,,286,132
4560.403742,4490.504128,46,1,20,,,,,,,,,,,,,286,132
4620.421435,4550.521814,46,1,20,,,,,,,,,,,,,286,132
4680.424556,4610.524943,46,1,20,,,,,,,,,,,,,286,132
4740.428663,4670.529065,46,1,20,,,,,,,,,,,,,286,132
4800.43317,4730.533555,46,1,20,,,,,,,,,,,,,286,132
4860.43797,4790.538357,46,1,20,,,,,,,,,,,,,286,132
4920.441351,4850.541737,46,1,20,,,,,,,,,,,,,286,132
4980.444709,4910.545097,46,1,20,,,,,,,,,,,,,286,132
5040.451922,4970.552317,46,1,20,,,,,,,,,,,,,286,132
5100.45605,5030.556432,46,1,20,,,,,,,,,,,,,286,132
5160.459211,5090.559594,46,1,20,,,,,,,,,,,,,286,132
5220.462205,5150.562591,46,1,20,,,,,,,,,,,,,286,132
5274.877861,5204.978133,45,1,20,0.0,,,,,,,,,,,,284,132
5280.465664,5204.978133,49,1,40,0.0,,,,,,,,,,,,291,133
5340.469077,5204.978133,52,1,40,0.0,,,,,,,,,,,,294,134
5400.473161,5204.978133,58,1,40,0.0,,,,,,,,,,,,322,134
5460.482797,5204.978133,60,1,40,0.0,,,,,,,,,,,,339,134
5520.509351,5204.978133,60,1,40,0.0,,,,,,,,,,,,339,134
5580.513028,5204.978133,60,1,40,0.0,,,,,,,,,,,,339,134
5640.516747,5204.978133,60,1,40,0.0,,,,,,,,,,,,339,134
5700.520206,5204.978133,60,1,40,0.0,,,,,,,,,,,,339,134
5760.523902,5204.978133,60,1,40,0.0,,,,,,,,,,,,339,134
5820.527912,5204.978133,60,1,40,0.0,,,,,,,,,,,,339,134
5880.531672,5255.840736,61,1,40,0.0,,,,,,,,,,,,344,134
5940.536417,5315.845478,61,1,40,0.0,,,,,,,,,,,,344,134
6000.539369,5375.848435,61,1,40,0.0,,,,,,,,,,,,344,134
6060.543022,5435.852091,61,1,40,0.0,,,,,,,,,,,,344,134
6120.546669,5495.855744,61,1,40,0.0,,,,,,,,,,,,344,134
6180.551136,5555.86021,61,1,40,0.0,,,,,,,,,,,,344,134
6240.55599,5615.865058,61,1,40,0.0,,,,,,,,,,,,344,134
6300.559746,5675.868812,61,1,40,0.0,,,,,,,,,,,,344,134
6360.563323,5735.872391,61,1,40,0.0,,,,,,,,,,,,344,134
6420.566964,5795.876031,61,1,40,0.0,,,,,,,,,,,,344,134
6480.571923,5855.880988,61,1,40,0.0,,,,,,,,,,,,344,134
6540.575692,5915.88477,61,1,40,0.0,,,,,,,,,,,,344,134
6600.579934,5975.889,61,1,40,0.0,,,,,,,,,,,,344,134
6660.583321,6035.892382,61,1,40,0.0,,,,,,,,,,,,344,134
6720.586208,6095.895275,61,1,40,0.0,,,,,,,,,,,,344,134
