time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.172362,46.713573,50,0,0,,,,,,,,,,,,,1813,753
120.209114,106.750323,50,0,0,,,,,,,,,,,,,1813,753
180.242375,166.783586,50,0,0,,,,,,,,,,,,,1813,753
240.273138,226.814355,50,0,0,,,,,,,,,,,,,1813,753
300.283491,286.8247,50,0,0,,,,,,,,,,,,,1813,753
360.302409,346.843635,50,0,0,,,,,,,,,,,,,1813,753
420.380588,406.921797,50,0,0,,,,,,,,,,,,,1813,753
465.480811,452.021847,50,0,0,,,,,,,,,,,,,1813,753
480.454245,452.021847,68,17,50,,,,,,,,,,,,,1854,755
540.396534,452.021847,83,17,50,,,,,,,,,,,,,1878,759
600.698763,452.021847,92,17,50,,,,,,,,,,,,,1910,764
660.468459,452.021847,97,17,50,,,,,,,,,,,,,1958,765
720.490717,452.021847,99,17,50,,,,,,,,,,,,,1966,765
780.517449,489.98344,100,17,50,,,,,,,,,,,,,1967,765
840.545014,550.011003,100,17,50,,,,,,,,,,,,,1967,765
900.621639,610.087632,100,17,50,,,,,,,,,,,,,1967,765
960.619365,670.08537,100,17,50,,,,,,,,,,,,,1967,765
1020.706123,730.172114,100,17,50,,,,,,,,,,,,,1967,765
1080.651934,790.117924,100,17,50,,,,,,,,,,,,,1967,765
1140.683684,850.149675,100,17,50,,,,,,,,,,,,,1967,765
1200.746123,910.212126,100,17,50,,,,,,,,,,,,,1967,765
1260.737813,970.203804,100,17,50,,,,,,,,,,,,,1967,765
1320.754902,1030.220901,99,17,50,,,,,,,,,,,,,1965,765
1380.803932,1090.269931,99,17,50,,,,,,,,,,,,,1965,765
1440.811643,1150.277644,99,17,50,,,,,,,,,,,,,1965,765
1500.886208,1210.352213,98,17,50,,,,,,,,,,,,,1964,765
1560.888238,1270.354239,97,17,50,,,,,,,,,,,,,1963,765
1625.000739,1334.746978,97,17,50,,,,,,,,,,,,,1963,765
1711.761098,1421.804573,97,17,50,,,,,,,,,,,,,1963,765
1777.157177,1486.623178,97,17,50,,,,,,,,,,,,,1963,765
1837.165527,1546.631519,97,17,50,,,,,,,,,,,,,1963,765
1897.180864,1606.646859,97,17,50,,,,,,,,,,,,,1963,765
1957.226895,1666.692887,97,17,50,,,,,,,,,,,,,1963,765
2017.226815,1726.692811,97,17,50,,,,,,,,,,,,,1963,765
2077.234594,1786.700599,97,17,50,,,,,,,,,,,,,1963,765
2137.258788,1846.724786,97,17,50,,,,,,,,,,,,,1963,765
2197.289061,1906.755058,97,17,50,,,,,,,,,,,,,1963,765
2257.320482,1966.786489,97,17,50,,,,,,,,,,,,,1963,765
2317.33612,2026.802113,97,17,50,,,,,,,,,,,,,1963,765
2377.34091,2086.806905,97,17,50,,,,,,,,,,,,,1963,765
2437.345134,2146.811126,97,17,50,,,,,,,,,,,,,1963,765
2453.513818,2162.97969,97,17,50,0.0,,,,,,,,,,,,1963,765
2497.474359,2162.97969,101,43,100,0.0,,,,,,,,,,,,1973,769
2557.406526,2162.97969,102,43,100,0.0,,,,,,,,,,,,1975,769
2617.426356,2162.97969,102,43,100,0.0,,,,,,,,,,,,1975,769
2677.466766,2162.97969,102,43,100,0.0,,,,,,,,,,,,1975,769
2737.491873,2162.97969,102,43,100,0.0,,,,,,,,,,,,1975,769
2797.609322,2162.97969,102,43,100,0.0,,,,,,,,,,,,1975,769
2857.586654,2162.97969,102,43,100,0.0,,,,,,,,,,,,1975,769
2917.598062,2162.97969,102,43,100,0.0,,,,,,,,,,,,1975,769
2977.667781,2162.97969,102,43,100,0.0,,,,,,,,,,,,1975,769
3037.700656,2162.97969,102,43,100,0.0,,,,,,,,,,,,1975,769
3097.71675,2162.97969,102,43,100,0.0,,,,,,,,,,,,1975,769
3157.726271,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3217.742201,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3277.882737,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3337.819348,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3397.936864,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3457.879078,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3517.887833,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3577.922734,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3637.959118,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3697.991551,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3758.038733,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3818.146879,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3878.14829,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3938.164786,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
3998.147741,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4058.215938,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4118.272324,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4178.263734,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4238.322023,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4298.376276,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4358.341451,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4418.429352,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4478.437871,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4538.42149,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4598.510578,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4658.494829,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4718.632834,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4778.537222,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4838.572862,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4898.654388,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
4958.633944,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5018.641822,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5078.674803,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5138.717177,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5198.793485,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5258.822062,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5318.79769,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5378.820353,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5438.875441,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5498.949039,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5559.050873,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5619.023,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5679.095953,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5739.055519,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5799.149779,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5859.185501,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5919.116142,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
5979.162678,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
6039.212307,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
6099.254305,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
6159.227739,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
6219.259026,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
6279.327339,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
6339.334065,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
6399.346445,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
6459.432429,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
6519.398351,2162.97969,103,43,100,0.0,,,,,,,,,,,,1976,769
6579.440926,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
6639.519798,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
6699.517662,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
6759.547297,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
6819.564815,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
6879.629679,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
6939.616487,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
6999.745697,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7059.690438,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7119.764335,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7179.754845,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7239.891195,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7299.963969,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7359.859839,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7419.972933,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7479.953303,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7539.943694,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7600.011216,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7660.016285,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7720.048658,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7780.086015,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7840.167091,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7900.163592,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
7960.29517,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8020.213939,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8080.225738,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8140.262063,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8200.2918,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8260.32596,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8320.356399,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8380.425927,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8440.444502,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8500.448722,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8560.503727,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8620.503089,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8680.63844,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8740.673538,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8800.630249,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8860.711005,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8920.687518,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
8980.762319,2162.97969,104,43,100,0.0,,,,,,,,,,,,1977,769
