time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.095034,9.913617,50,0,0,,,,,,,,,,,,,228,87
120.098504,69.917085,50,0,0,,,,,,,,,,,,,228,87
180.105695,129.924277,50,0,0,,,,,,,,,,,,,228,87
240.117705,189.936289,50,0,0,,,,,,,,,,,,,228,87
300.130811,249.949392,50,0,0,,,,,,,,,,,,,228,87
360.142965,309.961549,50,0,0,,,,,,,,,,,,,228,87
420.146688,369.96527,50,0,0,,,,,,,,,,,,,228,87
480.167174,429.985755,50,0,0,,,,,,,,,,,,,228,87
526.945324,476.763791,50,0,0,,,,,,,,,,,,,228,87
540.176034,476.763791,53,2,50,,,,,,,,,,,,,231,87
600.226172,476.763791,66,2,50,,,,,,,,,,,,,259,89
660.204457,476.763791,74,2,50,,,,,,,,,,,,,286,89
720.217282,476.763791,77,2,50,,,,,,,,,,,,,302,89
780.221449,476.763791,79,2,50,,,,,,,,,,,,,305,89
840.242088,476.763791,82,2,50,,,,,,,,,,,,,310,89
900.24544,476.763791,84,2,50,,,,,,,,,,,,,314,89
960.248856,476.763791,84,2,50,,,,,,,,,,,,,314,89
1020.294467,476.763791,85,2,50,,,,,,,,,,,,,315,89
1080.320594,476.763791,86,2,50,,,,,,,,,,,,,316,89
1140.308012,476.763791,86,2,50,,,,,,,,,,,,,316,89
1200.410717,476.763791,86,2,50,,,,,,,,,,,,,316,89
1260.382179,476.763791,86,2,50,,,,,,,,,,,,,316,89
1320.390104,476.763791,87,2,50,,,,,,,,,,,,,317,89
1380.392268,476.763791,87,2,50,,,,,,,,,,,,,317,89
1440.413049,476.763791,89,2,50,,,,,,,,,,,,,319,89
1500.434425,476.763791,89,2,50,,,,,,,,,,,,,319,89
1560.466663,476.763791,89,2,50,,,,,,,,,,,,,319,89
1620.484696,476.763791,91,2,50,,,,,,,,,,,,,321,89
1680.503007,476.763791,91,2,50,,,,,,,,,,,,,321,89
1740.523771,476.763791,91,2,50,,,,,,,,,,,,,321,89
1800.527208,476.763791,91,2,50,,,,,,,,,,,,,321,89
