time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.107046,2.7e-05,17,0,0,,,,,,,,,,,,,34,12
120.134178,2.7e-05,17,0,0,,,,,,,,,,,,,34,12
180.168663,2.7e-05,17,0,0,,,,,,,,,,,,,34,12
240.179578,2.7e-05,17,0,0,,,,,,,,,,,,,34,12
300.205743,2.7e-05,17,0,0,,,,,,,,,,,,,34,12
360.239892,2.7e-05,18,0,0,,,,,,,,,,,,,35,12
420.253426,2.7e-05,18,0,0,,,,,,,,,,,,,35,12
480.284829,2.7e-05,18,0,0,,,,,,,,,,,,,35,12
540.304234,2.7e-05,18,0,0,,,,,,,,,,,,,35,12
600.330908,2.7e-05,18,0,0,,,,,,,,,,,,,35,12
660.356881,2.7e-05,18,0,0,,,,,,,,,,,,,35,12
720.382995,2.7e-05,18,0,0,,,,,,,,,,,,,35,12
780.409531,2.7e-05,18,0,0,,,,,,,,,,,,,35,12
840.435743,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
900.452611,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
960.472372,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1020.492778,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1080.513832,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1140.539319,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1200.567604,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1260.594408,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1320.619282,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1380.634699,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1440.653466,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1500.683697,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1560.703316,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1620.722337,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1680.742091,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1740.761977,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1800.781843,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1860.8014,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1920.821183,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
1980.840994,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
2040.863518,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
2100.882817,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
2160.900075,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
2220.922314,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
2280.941701,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
2340.976838,2.7e-05,21,0,0,,,,,,,,,,,,,38,12
2400.991585,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
2461.011528,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
2521.031501,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
2581.057598,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
2641.077821,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
2701.097115,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
2761.116872,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
2821.136541,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
2881.155115,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
2941.175131,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3001.199617,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3061.223807,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3121.254311,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3181.276776,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3241.30263,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3301.323041,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3361.348003,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3421.371133,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3481.393512,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3541.411965,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3601.431414,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3661.444038,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3721.464185,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3781.488175,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3841.50203,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3901.519541,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
3961.542723,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4021.555833,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4081.575538,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4141.595675,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4201.615475,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4261.63513,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4321.663863,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4381.673972,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4441.708123,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4501.722257,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4561.750396,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4621.763613,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4681.783763,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4741.805084,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4801.826959,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4861.850641,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4921.865593,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
4981.885536,2.7e-05,22,0,0,,,,,,,,,,,,,48,19
