time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.110829,2.4e-05,33,0,0,,,,,,,,,,,,,1378,722
120.129256,2.4e-05,30,0,0,,,,,,,,,,,,,1514,722
180.168274,2.4e-05,31,0,0,,,,,,,,,,,,,1516,722
240.353114,2.4e-05,31,0,0,,,,,,,,,,,,,1516,722
300.248213,2.4e-05,36,0,0,,,,,,,,,,,,,1521,723
360.351298,2.4e-05,38,0,0,,,,,,,,,,,,,1523,723
420.342086,2.4e-05,38,0,0,,,,,,,,,,,,,1523,723
480.39733,2.4e-05,38,0,0,,,,,,,,,,,,,1523,723
540.457501,2.4e-05,38,0,0,,,,,,,,,,,,,1523,723
600.376379,2.4e-05,38,0,0,,,,,,,,,,,,,1523,723
660.516941,2.4e-05,38,0,0,,,,,,,,,,,,,1523,723
720.558113,2.4e-05,39,0,0,,,,,,,,,,,,,1525,723
780.551985,2.4e-05,39,0,0,,,,,,,,,,,,,1525,723
840.52829,2.4e-05,39,0,0,,,,,,,,,,,,,1525,723
900.637981,2.4e-05,39,0,0,,,,,,,,,,,,,1525,723
960.577672,2.4e-05,39,0,0,,,,,,,,,,,,,1525,723
1020.612421,2.4e-05,39,0,0,,,,,,,,,,,,,1525,723
1080.673498,2.4e-05,39,0,0,,,,,,,,,,,,,1525,723
1140.72988,2.4e-05,39,0,0,,,,,,,,,,,,,1525,723
1200.743142,2.4e-05,40,0,0,,,,,,,,,,,,,1527,723
1260.774202,2.4e-05,40,0,0,,,,,,,,,,,,,1527,723
1320.815219,2.4e-05,40,0,0,,,,,,,,,,,,,1527,723
1380.830376,2.4e-05,40,0,0,,,,,,,,,,,,,1527,723
1440.926925,2.4e-05,40,0,0,,,,,,,,,,,,,1527,723
1500.891,2.4e-05,40,0,0,,,,,,,,,,,,,1527,723
1560.932286,2.4e-05,40,0,0,,,,,,,,,,,,,1527,723
1620.99926,2.4e-05,40,0,0,,,,,,,,,,,,,1527,723
1680.987614,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
1741.106199,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
1801.030027,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
1861.176433,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
1921.096188,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
1981.166398,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2041.1776,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2101.192654,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2161.252103,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2221.297384,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2281.304934,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2341.336141,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2401.384779,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2461.494755,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2521.429649,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2581.448073,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2641.547119,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2701.522469,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2761.622482,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2821.642434,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2881.659143,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
2941.734098,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3001.71718,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3061.821074,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3121.777221,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3181.788998,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3241.818106,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3301.871214,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3361.887099,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3421.974343,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3481.960964,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3542.006681,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3602.062086,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3662.056547,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3722.09401,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3782.172051,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3842.20738,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3902.23228,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
3962.195581,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4022.284983,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4082.290652,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4142.356277,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4202.406539,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4262.337858,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4322.396489,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4382.40039,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4442.453084,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4502.576022,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4562.553059,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4622.63691,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4682.600218,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4742.606377,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4802.662773,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4862.652058,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4922.75401,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
4982.813041,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5042.761578,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5102.785571,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5162.843651,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5222.949364,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5282.928579,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5342.954135,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5403.016063,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5463.043737,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5523.047467,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5583.107878,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5643.1086,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5703.103112,2.4e-05,41,0,0,,,,,,,,,,,,,1528,723
5763.231362,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
5823.282237,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
5883.227696,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
5943.309411,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
6003.248204,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
6063.381723,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
6123.397299,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
6183.433836,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
6243.469575,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
6303.417312,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
6363.488633,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
6423.528261,2.4e-05,42,0,0,,,,,,,,,,,,,1530,723
6483.515734,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
6543.563981,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
6603.583695,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
6663.66108,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
6723.624678,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
6783.667746,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
6843.804562,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
6903.771533,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
6963.789747,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7023.878048,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7084.006779,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7143.879071,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7203.991977,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7264.019489,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7323.962755,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7384.007121,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7444.034251,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7504.179016,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7564.160875,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7624.153955,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7684.376965,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7744.176292,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7804.261319,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7864.239993,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
7924.31233,2.4e-05,43,0,0,,,,,,,,,,,,,1532,723
