time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
59.887905,53.065078,85,0,0,,,,,,,,,,,,,1156,559
60.1618,53.065078,88,1,50,,,,,,,,,,,,,1163,559
120.209253,53.065078,88,1,50,,,,,,,,,,,,,1163,559
180.262482,53.065078,88,1,50,,,,,,,,,,,,,1163,559
240.275026,53.065078,88,1,50,,,,,,,,,,,,,1163,559
300.359717,53.065078,88,1,50,,,,,,,,,,,,,1163,559
360.409565,53.065078,88,1,50,,,,,,,,,,,,,1163,559
420.511945,53.065078,88,1,50,,,,,,,,,,,,,1163,559
480.486987,53.065078,88,1,50,,,,,,,,,,,,,1163,559
540.419877,53.065078,88,1,50,,,,,,,,,,,,,1163,559
600.448729,53.065078,88,1,50,,,,,,,,,,,,,1163,559
660.533583,53.065078,88,1,50,,,,,,,,,,,,,1163,559
720.60562,53.065078,88,1,50,,,,,,,,,,,,,1163,559
780.652129,53.065078,88,1,50,,,,,,,,,,,,,1163,559
840.626619,53.065078,88,1,50,,,,,,,,,,,,,1163,559
900.820677,53.065078,88,1,50,,,,,,,,,,,,,1163,559
960.823331,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1020.682859,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1080.959583,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1140.835734,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1200.878449,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1260.849638,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1321.090069,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1381.082201,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1441.201492,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1501.032219,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1561.06301,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1621.087157,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1681.320984,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1741.291315,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1801.092148,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1861.474215,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1921.47933,53.065078,88,1,50,,,,,,,,,,,,,1163,559
1981.584466,53.065078,88,1,50,,,,,,,,,,,,,1163,559
2041.414135,53.065078,88,1,50,,,,,,,,,,,,,1163,559
2101.589797,53.065078,88,1,50,,,,,,,,,,,,,1163,559
2161.610771,53.065078,88,1,50,,,,,,,,,,,,,1163,559
2221.464965,53.065078,88,1,50,,,,,,,,,,,,,1163,559
2281.408025,53.065078,88,1,50,,,,,,,,,,,,,1163,559
2341.406996,53.065078,88,1,50,,,,,,,,,,,,,1163,559
