time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.161442,2.7e-05,46,0,0,,,,,,,,,,,,,171,86
120.182767,2.7e-05,49,0,0,,,,,,,,,,,,,174,86
180.207505,31.105425,50,0,0,,,,,,,,,,,,,175,86
240.229656,91.12758,50,0,0,,,,,,,,,,,,,175,86
300.248952,151.146873,50,0,0,,,,,,,,,,,,,175,86
360.268992,211.166913,50,0,0,,,,,,,,,,,,,175,86
420.295951,271.193871,50,0,0,,,,,,,,,,,,,175,86
480.312376,331.210293,50,0,0,,,,,,,,,,,,,175,86
540.33157,391.229488,50,0,0,,,,,,,,,,,,,175,86
557.874759,408.772552,50,0,0,,,,,,,,,,,,,175,86
600.36529,408.772552,51,1,50,,,,,,,,,,,,,176,86
660.376181,408.772552,51,1,50,,,,,,,,,,,,,176,86
721.287307,408.772552,52,1,50,,,,,,,,,,,,,177,86
780.467979,408.772552,52,1,50,,,,,,,,,,,,,177,86
841.225276,408.772552,56,1,50,,,,,,,,,,,,,221,93
900.487362,408.772552,67,1,50,,,,,,,,,,,,,252,93
960.499452,408.772552,71,1,50,,,,,,,,,,,,,269,93
1020.511931,408.772552,71,1,50,,,,,,,,,,,,,269,93
1080.524111,408.772552,72,1,50,,,,,,,,,,,,,270,93
1140.536807,408.772552,72,1,50,,,,,,,,,,,,,270,93
1200.559027,408.772552,72,1,50,,,,,,,,,,,,,270,93
1260.563464,408.772552,72,1,50,,,,,,,,,,,,,270,93
1320.581745,408.772552,72,1,50,,,,,,,,,,,,,270,93
