time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.205935,6.922016,50,0,0,,,,,,,,,,,,,219,85
120.216489,66.932566,44,0,0,,,,,,,,,,,,,212,85
180.227492,126.943565,38,0,0,,,,,,,,,,,,,204,85
194.964275,141.680232,36,0,0,,,,,,,,,,,,,199,85
240.254065,141.680232,47,5,50,,,,,,,,,,,,,260,86
300.27107,141.680232,51,5,50,,,,,,,,,,,,,264,87
360.289865,141.680232,53,5,50,,,,,,,,,,,,,266,87
420.293532,141.680232,55,5,50,,,,,,,,,,,,,267,87
480.311051,141.680232,57,5,50,,,,,,,,,,,,,268,87
540.314708,141.680232,58,5,50,,,,,,,,,,,,,269,87
600.335673,141.680232,69,5,50,,,,,,,,,,,,,273,89
660.343468,141.680232,72,5,50,,,,,,,,,,,,,277,89
720.348717,141.680232,72,5,50,,,,,,,,,,,,,277,89
780.356751,141.680232,72,5,50,,,,,,,,,,,,,277,89
840.370303,141.680232,73,5,50,,,,,,,,,,,,,278,89
900.374601,141.680232,76,5,50,,,,,,,,,,,,,281,89
960.388687,141.680232,76,5,50,,,,,,,,,,,,,281,89
1020.392013,141.680232,76,5,50,,,,,,,,,,,,,281,89
1080.40322,141.680232,76,5,50,,,,,,,,,,,,,281,89
1140.406506,141.680232,76,5,50,,,,,,,,,,,,,281,89
1200.40972,141.680232,76,5,50,,,,,,,,,,,,,281,89
1260.413039,141.680232,76,5,50,,,,,,,,,,,,,281,89
1320.416525,141.680232,76,5,50,,,,,,,,,,,,,281,89
1380.437978,141.680232,76,5,50,,,,,,,,,,,,,281,89
1440.441546,141.680232,76,5,50,,,,,,,,,,,,,281,89
1500.454019,141.680232,78,5,50,,,,,,,,,,,,,283,89
1560.467709,141.680232,82,5,50,,,,,,,,,,,,,286,89
1620.471054,141.680232,82,5,50,,,,,,,,,,,,,286,89
