time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.118062,2.4e-05,49,0,0,,,,,,,,,,,,,6408,1992
120.127299,57.382899,51,0,0,,,,,,,,,,,,,6412,1992
180.169222,117.424812,51,0,0,,,,,,,,,,,,,6412,1992
240.197091,177.452681,51,0,0,,,,,,,,,,,,,6412,1992
300.218827,237.474424,51,0,0,,,,,,,,,,,,,6412,1992
360.275797,297.531384,51,0,0,,,,,,,,,,,,,6412,1992
420.293094,357.548681,51,0,0,,,,,,,,,,,,,6412,1992
480.467247,417.722835,51,0,0,,,,,,,,,,,,,6412,1992
540.363121,477.618709,51,0,0,,,,,,,,,,,,,6412,1992
600.405079,537.660666,51,0,0,,,,,,,,,,,,,6412,1992
660.428554,597.684139,51,0,0,,,,,,,,,,,,,6412,1992
720.463902,657.719492,51,0,0,,,,,,,,,,,,,6412,1992
780.500293,717.755879,51,0,0,,,,,,,,,,,,,6412,1992
840.507673,777.763261,51,0,0,,,,,,,,,,,,,6412,1992
900.555154,837.810741,51,0,0,,,,,,,,,,,,,6412,1992
960.676193,897.931782,51,0,0,,,,,,,,,,,,,6412,1992
1020.617159,957.872746,51,0,0,,,,,,,,,,,,,6412,1992
1080.661921,1017.917509,51,0,0,,,,,,,,,,,,,6412,1992
1140.694251,1077.94984,51,0,0,,,,,,,,,,,,,6412,1992
1200.75634,1138.011929,51,0,0,,,,,,,,,,,,,6412,1992
1260.732238,1197.987828,51,0,0,,,,,,,,,,,,,6412,1992
1320.74821,1258.0038,51,0,0,,,,,,,,,,,,,6412,1992
1380.806419,1318.062008,51,0,0,,,,,,,,,,,,,6412,1992
1440.889283,1378.144873,51,0,0,,,,,,,,,,,,,6412,1992
1500.873782,1438.12937,51,0,0,,,,,,,,,,,,,6412,1992
1560.881951,1498.137539,51,0,0,,,,,,,,,,,,,6412,1992
1620.973036,1558.228629,51,0,0,,,,,,,,,,,,,6412,1992
1680.993355,1618.24895,51,0,0,,,,,,,,,,,,,6412,1992
1741.032559,1678.288152,51,0,0,,,,,,,,,,,,,6412,1992
1801.191773,1738.447365,51,0,0,,,,,,,,,,,,,6412,1992
1861.060474,1798.31607,51,0,0,,,,,,,,,,,,,6412,1992
1921.092042,1858.347637,51,0,0,,,,,,,,,,,,,6412,1992
1981.122838,1918.378433,51,0,0,,,,,,,,,,,,,6412,1992
2041.150535,1978.406136,51,0,0,,,,,,,,,,,,,6412,1992
2101.2234,2038.478992,51,0,0,,,,,,,,,,,,,6412,1992
2161.210142,2098.465734,51,0,0,,,,,,,,,,,,,6412,1992
2221.243012,2158.498606,51,0,0,,,,,,,,,,,,,6412,1992
2281.260095,2218.515689,51,0,0,,,,,,,,,,,,,6412,1992
2341.336812,2278.592412,51,0,0,,,,,,,,,,,,,6412,1992
2401.332595,2338.588188,51,0,0,,,,,,,,,,,,,6412,1992
2461.387893,2398.643484,51,0,0,,,,,,,,,,,,,6412,1992
2521.596826,2458.852419,51,0,0,,,,,,,,,,,,,6412,1992
2581.465386,2518.720978,51,0,0,,,,,,,,,,,,,6412,1992
2641.532818,2578.788409,51,0,0,,,,,,,,,,,,,6412,1992
2701.4773,2638.732893,51,0,0,,,,,,,,,,,,,6412,1992
2761.494117,2698.749711,51,0,0,,,,,,,,,,,,,6412,1992
2821.563629,2758.819226,51,0,0,,,,,,,,,,,,,6412,1992
2881.614592,2818.870184,51,0,0,,,,,,,,,,,,,6412,1992
2941.614831,2878.870425,51,0,0,,,,,,,,,,,,,6412,1992
2993.916804,2931.172286,51,0,0,,,,,,,,,,,,,6412,1992
3001.69145,2931.172286,57,3,50,,,,,,,,,,,,,6519,2001
3061.661794,2931.172286,85,3,50,,,,,,,,,,,,,6939,2067
3121.724924,2932.328139,101,3,50,,,,,,,,,,,,,7500,2098
