time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.082482,42.734844,51,0,0,,,,,,,,,,,,,238,95
120.087186,102.73954,50,0,0,,,,,,,,,,,,,229,95
180.097647,162.749993,49,0,0,,,,,,,,,,,,,228,95
240.101939,222.754305,48,0,0,,,,,,,,,,,,,213,95
300.106341,282.758692,48,0,0,,,,,,,,,,,,,213,95
303.177559,285.82981,48,0,0,,,,,,,,,,,,,213,95
360.112195,285.82981,69,3,50,,,,,,,,,,,,,301,105
420.116449,285.82981,76,3,50,,,,,,,,,,,,,319,105
480.12062,285.82981,85,3,50,,,,,,,,,,,,,353,108
540.124322,285.82981,86,3,50,,,,,,,,,,,,,356,111
600.127342,285.82981,86,3,50,,,,,,,,,,,,,356,111
660.131334,285.82981,87,3,50,,,,,,,,,,,,,357,111
720.135169,285.82981,87,3,50,,,,,,,,,,,,,357,111
780.152966,285.82981,89,3,50,,,,,,,,,,,,,359,111
840.15635,285.82981,96,3,50,,,,,,,,,,,,,370,112
900.159635,318.852359,97,3,50,,,,,,,,,,,,,371,113
960.163234,378.855964,97,3,50,,,,,,,,,,,,,371,113
1020.17281,438.86553,97,3,50,,,,,,,,,,,,,371,113
1080.177057,498.869771,97,3,50,,,,,,,,,,,,,371,113
1140.183475,558.876198,97,3,50,,,,,,,,,,,,,371,113
1200.188275,618.881002,97,3,50,,,,,,,,,,,,,371,113
1260.202904,678.895625,97,3,50,,,,,,,,,,,,,371,113
1320.206167,738.898896,97,3,50,,,,,,,,,,,,,371,113
1380.211061,798.903783,97,3,50,,,,,,,,,,,,,371,113
1440.2145,858.907225,97,3,50,,,,,,,,,,,,,371,113
1500.21904,918.911769,97,3,50,,,,,,,,,,,,,371,113
1560.223695,978.916432,97,3,50,,,,,,,,,,,,,371,113
1620.229882,1038.922602,97,3,50,,,,,,,,,,,,,371,113
1680.234162,1098.926886,97,3,50,,,,,,,,,,,,,371,113
1740.244084,1158.93681,97,3,50,,,,,,,,,,,,,371,113
1800.248608,1218.941331,97,3,50,,,,,,,,,,,,,371,113
1860.252354,1278.945076,97,3,50,,,,,,,,,,,,,371,113
1920.256125,1338.948854,97,3,50,,,,,,,,,,,,,371,113
1980.26055,1398.953271,97,3,50,,,,,,,,,,,,,371,113
2040.264306,1458.957042,97,3,50,,,,,,,,,,,,,371,113
2100.269103,1518.96182,97,3,50,,,,,,,,,,,,,371,113
2160.27425,1578.966974,97,3,50,,,,,,,,,,,,,371,113
2220.278558,1638.971284,97,3,50,,,,,,,,,,,,,371,113
2280.282702,1698.97542,97,3,50,,,,,,,,,,,,,371,113
2340.292832,1758.985549,97,3,50,,,,,,,,,,,,,371,113
2400.299124,1818.991852,97,3,50,,,,,,,,,,,,,371,113
2460.303682,1878.99641,97,3,50,,,,,,,,,,,,,371,113
2520.310301,1939.003027,97,3,50,,,,,,,,,,,,,371,113
2580.314952,1999.007681,97,3,50,,,,,,,,,,,,,371,113
2640.323694,2059.016421,97,3,50,,,,,,,,,,,,,371,113
2700.327854,2119.020578,97,3,50,,,,,,,,,,,,,371,113
2760.331653,2179.024381,97,3,50,,,,,,,,,,,,,371,113
2820.336253,2239.028986,97,3,50,,,,,,,,,,,,,371,113
2880.34306,2299.035786,97,3,50,,,,,,,,,,,,,371,113
2940.347141,2359.039877,97,3,50,,,,,,,,,,,,,371,113
3000.351148,2419.043867,97,3,50,,,,,,,,,,,,,371,113
3060.355808,2479.048545,97,3,50,,,,,,,,,,,,,371,113
3120.360367,2539.053096,97,3,50,,,,,,,,,,,,,371,113
3180.365077,2599.057801,97,3,50,,,,,,,,,,,,,371,113
3240.369546,2659.062273,97,3,50,,,,,,,,,,,,,371,113
3300.380233,2719.072952,97,3,50,,,,,,,,,,,,,371,113
