time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
47.576272,42.987391,85,0,0,,,,,,,,,,,,,1156,559
60.153628,42.987391,90,1,50,,,,,,,,,,,,,1176,560
120.202098,42.987391,90,1,50,,,,,,,,,,,,,1176,560
180.206834,42.987391,90,1,50,,,,,,,,,,,,,1176,560
240.220973,42.987391,90,1,50,,,,,,,,,,,,,1176,560
300.352647,42.987391,90,1,50,,,,,,,,,,,,,1176,560
360.28809,42.987391,90,1,50,,,,,,,,,,,,,1176,560
420.434054,42.987391,90,1,50,,,,,,,,,,,,,1176,560
480.480156,42.987391,90,1,50,,,,,,,,,,,,,1176,560
540.478529,42.987391,90,1,50,,,,,,,,,,,,,1176,560
600.449619,42.987391,90,1,50,,,,,,,,,,,,,1176,560
660.446554,42.987391,90,1,50,,,,,,,,,,,,,1176,560
720.641624,42.987391,90,1,50,,,,,,,,,,,,,1176,560
780.642904,42.987391,90,1,50,,,,,,,,,,,,,1176,560
840.583463,42.987391,90,1,50,,,,,,,,,,,,,1176,560
900.586463,42.987391,90,1,50,,,,,,,,,,,,,1176,560
960.637143,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1020.713756,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1080.746614,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1140.795692,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1200.771078,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1260.9618,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1321.002225,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1380.817978,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1440.999229,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1501.014827,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1561.058638,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1621.347695,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1681.042597,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1741.421766,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1801.406944,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1861.196751,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1921.372912,42.987391,90,1,50,,,,,,,,,,,,,1176,560
1981.59284,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2041.683457,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2101.376816,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2161.371741,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2221.474489,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2281.50115,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2341.407843,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2401.58858,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2461.453256,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2521.951449,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2581.797129,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2641.507654,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2701.589997,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2761.744277,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2821.71033,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2881.893898,42.987391,90,1,50,,,,,,,,,,,,,1176,560
2941.975038,42.987391,90,1,50,,,,,,,,,,,,,1176,560
3001.838115,42.987391,90,1,50,,,,,,,,,,,,,1176,560
3061.848813,42.987391,90,1,50,,,,,,,,,,,,,1176,560
3121.84641,42.987391,90,1,50,,,,,,,,,,,,,1176,560
3182.022131,42.987391,90,1,50,,,,,,,,,,,,,1176,560
3242.141141,42.987391,90,1,50,,,,,,,,,,,,,1176,560
3302.015925,42.987391,90,1,50,,,,,,,,,,,,,1176,560
3361.954019,42.987391,90,1,50,,,,,,,,,,,,,1176,560
3422.147762,42.987391,90,1,50,,,,,,,,,,,,,1176,560
3482.241764,42.987391,90,1,50,,,,,,,,,,,,,1176,560
3542.033358,42.987391,90,1,50,,,,,,,,,,,,,1176,560
