time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.145286,2.8e-05,37,0,0,,,,,,,,,,,,,3531,2017
120.123612,3.253363,50,0,0,,,,,,,,,,,,,3555,2019
180.1491,63.278853,46,0,0,,,,,,,,,,,,,3253,2019
240.159714,123.289479,44,0,0,,,,,,,,,,,,,3186,2019
300.181435,183.311217,41,0,0,,,,,,,,,,,,,3110,2019
360.24903,243.378785,40,0,0,,,,,,,,,,,,,3109,2019
420.216378,303.346129,40,0,0,,,,,,,,,,,,,3109,2019
480.231146,363.360899,38,0,0,,,,,,,,,,,,,3004,2019
540.289991,423.419746,29,0,0,,,,,,,,,,,,,2514,2019
600.279583,483.409336,27,0,0,,,,,,,,,,,,,2437,2019
660.352624,543.482378,25,0,0,,,,,,,,,,,,,2385,2019
720.348896,603.478657,25,0,0,,,,,,,,,,,,,2385,2019
766.386979,649.516573,25,0,0,,,,,,,,,,,,,2385,2019
780.366804,649.516573,29,21,50,,,,,,,,,,,,,3550,2019
840.422381,649.516573,29,21,50,,,,,,,,,,,,,3548,2019
900.425655,649.516573,30,21,50,,,,,,,,,,,,,3426,2019
960.443501,649.516573,30,21,50,,,,,,,,,,,,,3550,2019
1020.47344,649.516573,30,21,50,,,,,,,,,,,,,3550,2019
1080.507775,649.516573,30,21,50,,,,,,,,,,,,,3551,2019
1140.543867,649.516573,30,21,50,,,,,,,,,,,,,3550,2019
1200.590047,649.516573,33,21,50,,,,,,,,,,,,,3577,2032
1260.599945,649.516573,34,21,50,,,,,,,,,,,,,3586,2036
1320.619951,649.516573,35,21,50,,,,,,,,,,,,,3592,2036
1380.67079,649.516573,35,21,50,,,,,,,,,,,,,3590,2036
1440.732864,649.516573,35,21,50,,,,,,,,,,,,,3592,2036
1500.711819,649.516573,37,21,50,,,,,,,,,,,,,3599,2036
1560.726622,649.516573,37,21,50,,,,,,,,,,,,,3600,2036
1620.759978,649.516573,38,21,50,,,,,,,,,,,,,3604,2036
1680.81845,649.516573,38,21,50,,,,,,,,,,,,,3603,2036
1740.804429,649.516573,38,21,50,,,,,,,,,,,,,3604,2036
1800.805873,649.516573,39,21,50,,,,,,,,,,,,,3605,2036
1860.868368,649.516573,39,21,50,,,,,,,,,,,,,3605,2036
1920.859617,649.516573,39,21,50,,,,,,,,,,,,,3605,2036
1980.945812,649.516573,39,21,50,,,,,,,,,,,,,3605,2036
2040.968213,649.516573,40,21,50,,,,,,,,,,,,,3607,2036
2101.177402,649.516573,40,21,50,,,,,,,,,,,,,3606,2036
