time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.120183,1.7e-05,29,0,0,,,,,,,,,,,,,246,128
120.12352,1.7e-05,37,0,0,,,,,,,,,,,,,293,131
180.12866,11.071668,53,0,0,,,,,,,,,,,,,325,133
240.133854,71.076865,53,0,0,,,,,,,,,,,,,325,133
300.138625,131.08163,53,0,0,,,,,,,,,,,,,325,133
360.143481,191.086488,53,0,0,,,,,,,,,,,,,325,133
420.148285,251.091291,53,0,0,,,,,,,,,,,,,325,133
480.153134,311.096142,53,0,0,,,,,,,,,,,,,325,133
540.157605,371.100602,53,0,0,,,,,,,,,,,,,325,133
600.162915,431.105927,53,0,0,,,,,,,,,,,,,325,133
660.169746,491.11276,53,0,0,,,,,,,,,,,,,325,133
720.179755,551.122759,53,0,0,,,,,,,,,,,,,325,133
780.18427,611.127269,53,0,0,,,,,,,,,,,,,325,133
840.188776,671.131783,53,0,0,,,,,,,,,,,,,325,133
900.193624,731.136628,53,0,0,,,,,,,,,,,,,325,133
960.198469,791.141474,53,0,0,,,,,,,,,,,,,325,133
1020.203277,851.146282,53,0,0,,,,,,,,,,,,,325,133
1080.207555,911.150549,53,0,0,,,,,,,,,,,,,325,133
1140.210069,971.153071,53,0,0,,,,,,,,,,,,,325,133
1200.21394,1031.156936,53,0,0,,,,,,,,,,,,,325,133
1260.217966,1091.160973,53,0,0,,,,,,,,,,,,,325,133
1320.221973,1151.164979,53,0,0,,,,,,,,,,,,,325,133
1380.226751,1211.169758,53,0,0,,,,,,,,,,,,,325,133
1440.231056,1271.17405,53,0,0,,,,,,,,,,,,,325,133
1500.235059,1331.178065,53,0,0,,,,,,,,,,,,,325,133
1560.238512,1391.181513,53,0,0,,,,,,,,,,,,,325,133
1620.243085,1451.186091,53,0,0,,,,,,,,,,,,,325,133
1680.247596,1511.1906,53,0,0,,,,,,,,,,,,,325,133
1740.251911,1571.194917,53,0,0,,,,,,,,,,,,,325,133
1800.255872,1631.198878,53,0,0,,,,,,,,,,,,,325,133
1860.259797,1691.202803,53,0,0,,,,,,,,,,,,,325,133
1920.264085,1751.20708,53,0,0,,,,,,,,,,,,,325,133
1980.268171,1811.211179,53,0,0,,,,,,,,,,,,,325,133
2040.273043,1871.21605,53,0,0,,,,,,,,,,,,,325,133
2100.27757,1931.220583,53,0,0,,,,,,,,,,,,,325,133
2160.282304,1991.225299,53,0,0,,,,,,,,,,,,,325,133
2220.286216,2051.229215,53,0,0,,,,,,,,,,,,,325,133
2280.290656,2111.233664,53,0,0,,,,,,,,,,,,,325,133
2340.295284,2171.238295,53,0,0,,,,,,,,,,,,,325,133
2400.299035,2231.242042,53,0,0,,,,,,,,,,,,,325,133
2460.303777,2291.246783,53,0,0,,,,,,,,,,,,,325,133
2520.308658,2351.251669,53,0,0,,,,,,,,,,,,,325,133
2580.3127,2411.255702,53,0,0,,,,,,,,,,,,,325,133
2640.316173,2471.259177,53,0,0,,,,,,,,,,,,,325,133
2700.321167,2531.264173,53,0,0,,,,,,,,,,,,,325,133
2760.325173,2591.26818,53,0,0,,,,,,,,,,,,,325,133
2820.335071,2651.27807,53,0,0,,,,,,,,,,,,,325,133
2880.338798,2711.281796,53,0,0,,,,,,,,,,,,,325,133
2940.342584,2771.285589,53,0,0,,,,,,,,,,,,,325,133
3000.346278,2831.289286,53,0,0,,,,,,,,,,,,,325,133
3060.350936,2891.293949,53,0,0,,,,,,,,,,,,,325,133
3120.356148,2951.299155,53,0,0,,,,,,,,,,,,,325,133
3180.35968,3011.302681,53,0,0,,,,,,,,,,,,,325,133
3240.363102,3071.306108,53,0,0,,,,,,,,,,,,,325,133
3300.367973,3131.310981,53,0,0,,,,,,,,,,,,,325,133
3360.372767,3191.315767,53,0,0,,,,,,,,,,,,,325,133
3420.377711,3251.320718,53,0,0,,,,,,,,,,,,,325,133
3480.388624,3311.331633,53,0,0,,,,,,,,,,,,,325,133
3540.39283,3371.335831,53,0,0,,,,,,,,,,,,,325,133
3600.397299,3431.340307,53,0,0,,,,,,,,,,,,,325,133
3660.402214,3491.345223,53,0,0,,,,,,,,,,,,,325,133
3720.406798,3551.349797,53,0,0,,,,,,,,,,,,,325,133
3780.410801,3611.353796,53,0,0,,,,,,,,,,,,,325,133
3840.414542,3671.35754,53,0,0,,,,,,,,,,,,,325,133
3900.418836,3731.361844,53,0,0,,,,,,,,,,,,,325,133
3960.424128,3791.367138,53,0,0,,,,,,,,,,,,,325,133
4020.428831,3851.371835,53,0,0,,,,,,,,,,,,,325,133
4080.432372,3911.37538,53,0,0,,,,,,,,,,,,,325,133
4140.437248,3971.38026,53,0,0,,,,,,,,,,,,,325,133
4200.440667,4031.383665,53,0,0,,,,,,,,,,,,,325,133
4260.444856,4091.387849,53,0,0,,,,,,,,,,,,,325,133
4320.45007,4151.393066,53,0,0,,,,,,,,,,,,,325,133
4380.454672,4211.397684,53,0,0,,,,,,,,,,,,,325,133
4440.4598,4271.402807,53,0,0,,,,,,,,,,,,,325,133
4500.465503,4331.408512,53,0,0,,,,,,,,,,,,,325,133
4560.470463,4391.413469,53,0,0,,,,,,,,,,,,,325,133
4620.475408,4451.418416,53,0,0,,,,,,,,,,,,,325,133
4680.48033,4511.423339,53,0,0,,,,,,,,,,,,,325,133
4740.485149,4571.428154,53,0,0,,,,,,,,,,,,,325,133
4800.489618,4631.432626,53,0,0,,,,,,,,,,,,,325,133
4860.493132,4691.43613,53,0,0,,,,,,,,,,,,,325,133
4920.497334,4751.440341,53,0,0,,,,,,,,,,,,,325,133
4980.502326,4811.445331,53,0,0,,,,,,,,,,,,,325,133
5040.507098,4871.450106,53,0,0,,,,,,,,,,,,,325,133
5100.511768,4931.454774,53,0,0,,,,,,,,,,,,,325,133
5160.516741,4991.45975,53,0,0,,,,,,,,,,,,,325,133
5220.520574,5051.46359,53,0,0,,,,,,,,,,,,,325,133
5280.524295,5111.467303,53,0,0,,,,,,,,,,,,,325,133
5340.528041,5171.471037,53,0,0,,,,,,,,,,,,,325,133
5400.531868,5231.474878,53,0,0,,,,,,,,,,,,,325,133
5460.536706,5291.479709,53,0,0,,,,,,,,,,,,,325,133
5520.541631,5351.484643,53,0,0,,,,,,,,,,,,,325,133
5580.547621,5411.490631,53,0,0,,,,,,,,,,,,,325,133
5640.552673,5471.495681,53,0,0,,,,,,,,,,,,,325,133
5700.558257,5531.501267,53,0,0,,,,,,,,,,,,,325,133
5760.563265,5591.506276,53,0,0,,,,,,,,,,,,,325,133
5820.568537,5651.511549,53,0,0,,,,,,,,,,,,,325,133
5880.5737,5711.516707,53,0,0,,,,,,,,,,,,,325,133
5940.578187,5771.521198,53,0,0,,,,,,,,,,,,,325,133
6000.582984,5831.526006,53,0,0,,,,,,,,,,,,,325,133
6060.587772,5891.530782,53,0,0,,,,,,,,,,,,,325,133
6120.592664,5951.535675,53,0,0,,,,,,,,,,,,,325,133
6180.597656,6011.540662,53,0,0,,,,,,,,,,,,,325,133
6240.601804,6071.544814,53,0,0,,,,,,,,,,,,,325,133
6300.607637,6131.550647,53,0,0,,,,,,,,,,,,,325,133
6360.612828,6191.555838,53,0,0,,,,,,,,,,,,,325,133
6420.62172,6251.564729,53,0,0,,,,,,,,,,,,,325,133
6480.627137,6311.57015,53,0,0,,,,,,,,,,,,,325,133
6540.632332,6371.575343,53,0,0,,,,,,,,,,,,,325,133
6600.636681,6431.579691,53,0,0,,,,,,,,,,,,,325,133
6660.641554,6491.584564,53,0,0,,,,,,,,,,,,,325,133
6720.649491,6551.592502,53,0,0,,,,,,,,,,,,,325,133
6780.655305,6611.598323,53,0,0,,,,,,,,,,,,,325,133
6840.660642,6671.603652,53,0,0,,,,,,,,,,,,,325,133
6900.665711,6731.608722,53,0,0,,,,,,,,,,,,,325,133
6960.670909,6791.61392,53,0,0,,,,,,,,,,,,,325,133
7020.675973,6851.618984,53,0,0,,,,,,,,,,,,,325,133
7080.681213,6911.624229,53,0,0,,,,,,,,,,,,,325,133
7140.686387,6971.629396,53,0,0,,,,,,,,,,,,,325,133
7200.692326,7031.635336,53,0,0,,,,,,,,,,,,,325,133
7260.69698,7091.639978,53,0,0,,,,,,,,,,,,,325,133
7320.701519,7151.644529,53,0,0,,,,,,,,,,,,,325,133
7380.706373,7211.649382,53,0,0,,,,,,,,,,,,,325,133
7440.710275,7271.653284,53,0,0,,,,,,,,,,,,,325,133
7500.715074,7331.658084,53,0,0,,,,,,,,,,,,,325,133
7560.719758,7391.662768,53,0,0,,,,,,,,,,,,,325,133
7620.723816,7451.666826,53,0,0,,,,,,,,,,,,,325,133
7680.729508,7511.672522,53,0,0,,,,,,,,,,,,,325,133
7740.733949,7571.676957,53,0,0,,,,,,,,,,,,,325,133
7800.739383,7631.682395,53,0,0,,,,,,,,,,,,,325,133
7860.744389,7691.687399,53,0,0,,,,,,,,,,,,,325,133
7920.749379,7751.692392,53,0,0,,,,,,,,,,,,,325,133
7980.754233,7811.697242,53,0,0,,,,,,,,,,,,,325,133
8040.759507,7871.702516,53,0,0,,,,,,,,,,,,,325,133
8100.764542,7931.707553,53,0,0,,,,,,,,,,,,,325,133
8160.769524,7991.712532,53,0,0,,,,,,,,,,,,,325,133
8220.77524,8051.718244,53,0,0,,,,,,,,,,,,,325,133
8280.779789,8111.722795,53,0,0,,,,,,,,,,,,,325,133
8340.784516,8171.727524,53,0,0,,,,,,,,,,,,,325,133
8400.789355,8231.73238,53,0,0,,,,,,,,,,,,,325,133
8460.794199,8291.737211,53,0,0,,,,,,,,,,,,,325,133
8520.799408,8351.742416,53,0,0,,,,,,,,,,,,,325,133
8580.804237,8411.747244,53,0,0,,,,,,,,,,,,,325,133
8640.809082,8471.752089,53,0,0,,,,,,,,,,,,,325,133
8700.813938,8531.756945,53,0,0,,,,,,,,,,,,,325,133
8760.819405,8591.762413,53,0,0,,,,,,,,,,,,,325,133
8820.824586,8651.767592,53,0,0,,,,,,,,,,,,,325,133
8880.829308,8711.772313,53,0,0,,,,,,,,,,,,,325,133
8940.834049,8771.777055,53,0,0,,,,,,,,,,,,,325,133
9000.838699,8831.781706,53,0,0,,,,,,,,,,,,,325,133
9060.843546,8891.786553,53,0,0,,,,,,,,,,,,,325,133
9120.848372,8951.791379,53,0,0,,,,,,,,,,,,,325,133
9180.853235,9011.796243,53,0,0,,,,,,,,,,,,,325,133
9240.858264,9071.80127,53,0,0,,,,,,,,,,,,,325,133
9300.863466,9131.806481,53,0,0,,,,,,,,,,,,,325,133
9360.868519,9191.811525,53,0,0,,,,,,,,,,,,,325,133
9420.873605,9251.81661,53,0,0,,,,,,,,,,,,,325,133
9480.878576,9311.821583,53,0,0,,,,,,,,,,,,,325,133
9540.883559,9371.826566,53,0,0,,,,,,,,,,,,,325,133
9600.888404,9431.831405,53,0,0,,,,,,,,,,,,,325,133
9660.893182,9491.836191,53,0,0,,,,,,,,,,,,,325,133
9720.898506,9551.841522,53,0,0,,,,,,,,,,,,,325,133
9780.903923,9611.846931,53,0,0,,,,,,,,,,,,,325,133
9840.908107,9671.851117,53,0,0,,,,,,,,,,,,,325,133
9900.9136,9731.856606,53,0,0,,,,,,,,,,,,,325,133
9960.918762,9791.861772,53,0,0,,,,,,,,,,,,,325,133
10020.923296,9851.866295,53,0,0,,,,,,,,,,,,,325,133
10080.927809,9911.870815,53,0,0,,,,,,,,,,,,,325,133
10140.932809,9971.875816,53,0,0,,,,,,,,,,,,,325,133
10200.938036,10031.881044,53,0,0,,,,,,,,,,,,,325,133
10260.942989,10091.885994,53,0,0,,,,,,,,,,,,,325,133
10320.947742,10151.890749,53,0,0,,,,,,,,,,,,,325,133
10333.419548,10164.362445,53,0,0,,,,,,,,,,,,,325,133
10380.952763,10164.362445,53,5,50,,,,,,,,,,,,,325,133
10440.957504,10164.362445,69,5,50,,,,,,,,,,,,,362,133
10500.962893,10164.362445,72,5,50,,,,,,,,,,,,,369,133
10560.967859,10164.362445,72,5,50,,,,,,,,,,,,,369,133
10620.972673,10164.362445,74,5,50,,,,,,,,,,,,,371,133
10680.977804,10164.362445,74,5,50,,,,,,,,,,,,,371,133
10740.982546,10164.362445,74,5,50,,,,,,,,,,,,,371,133
10800.987506,10164.362445,74,5,50,,,,,,,,,,,,,371,133
10860.99174,10164.362445,74,5,50,,,,,,,,,,,,,371,133
10920.997343,10164.362445,74,5,50,,,,,,,,,,,,,371,133
10981.002938,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11041.008108,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11101.013229,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11161.018002,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11221.023398,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11281.029118,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11341.034227,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11401.03891,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11461.044723,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11521.049481,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11581.05447,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11641.059505,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11701.063893,10164.362445,74,5,50,,,,,,,,,,,,,371,133
11761.068881,10164.362445,75,5,50,,,,,,,,,,,,,372,133
11821.080792,10164.362445,80,5,50,,,,,,,,,,,,,383,135
11881.084558,10164.362445,86,5,50,,,,,,,,,,,,,397,135
11941.0896,10164.362445,89,5,50,,,,,,,,,,,,,400,135
12001.095323,10164.362445,92,5,50,,,,,,,,,,,,,407,135
12061.106225,10164.362445,93,5,50,,,,,,,,,,,,,408,135
12121.11083,10164.362445,96,5,50,,,,,,,,,,,,,413,135
12181.115819,10164.362445,97,5,50,,,,,,,,,,,,,414,135
12241.120653,10164.362445,97,5,50,,,,,,,,,,,,,414,135
12301.124463,10164.362445,97,5,50,,,,,,,,,,,,,414,135
12361.129373,10164.362445,97,5,50,,,,,,,,,,,,,414,135
12421.134292,10164.362445,97,5,50,,,,,,,,,,,,,414,135
12481.143343,10164.362445,97,5,50,,,,,,,,,,,,,414,135
12541.147669,10164.362445,97,5,50,,,,,,,,,,,,,414,135
12601.151751,10164.362445,97,5,50,,,,,,,,,,,,,414,135
12661.156954,10164.362445,97,5,50,,,,,,,,,,,,,414,135
