time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.141619,34.887971,49,0,0,,,,,,,,,,,,,1090,438
120.164742,94.91108,48,0,0,,,,,,,,,,,,,1084,438
180.188573,154.934915,44,0,0,,,,,,,,,,,,,1047,438
240.197821,214.944156,37,0,0,,,,,,,,,,,,,989,438
300.221057,274.967395,30,0,0,,,,,,,,,,,,,830,438
311.378319,286.124521,27,0,0,,,,,,,,,,,,,605,438
360.248947,308.138564,78,1,50,,,,,,,,,,,,,1209,449
420.278269,368.167886,78,1,50,,,,,,,,,,,,,1209,449
480.299614,428.189225,78,1,50,,,,,,,,,,,,,1209,449
540.330116,488.219736,78,1,50,,,,,,,,,,,,,1209,449
600.358478,548.248097,78,1,50,,,,,,,,,,,,,1209,449
660.385585,608.275202,78,1,50,,,,,,,,,,,,,1209,449
720.420244,668.309862,78,1,50,,,,,,,,,,,,,1209,449
780.437701,728.327315,78,1,50,,,,,,,,,,,,,1209,449
840.456303,788.345911,78,1,50,,,,,,,,,,,,,1209,449
900.468143,848.357752,78,1,50,,,,,,,,,,,,,1209,449
960.486744,908.376356,78,1,50,,,,,,,,,,,,,1209,449
1020.499883,968.389494,78,1,50,,,,,,,,,,,,,1209,449
1080.523488,1028.413097,78,1,50,,,,,,,,,,,,,1209,449
1140.545946,1088.435558,78,1,50,,,,,,,,,,,,,1209,449
1200.568483,1148.458092,78,1,50,,,,,,,,,,,,,1209,449
1260.589139,1208.478747,78,1,50,,,,,,,,,,,,,1209,449
1316.210864,1264.100382,78,1,50,25.0,,,96.3020030816641,,,,,,,,,1209,449
1320.610697,1264.100382,100,1,76,25.0,,,96.3020030816641,,,,,,,,,1420,453
1380.622556,1300.248304,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
1440.645191,1360.270939,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
1500.665197,1420.290945,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
1560.679823,1480.305568,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
1620.691946,1540.317693,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
1680.714798,1600.340546,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
1740.736656,1660.362404,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
1800.757127,1720.382886,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
1860.781369,1780.407116,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
1920.80372,1840.429467,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
1980.830155,1900.455904,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
2040.852512,1960.478259,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
2100.872433,2020.498181,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
2160.895343,2080.521089,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
2220.915746,2140.541495,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
2280.938255,2200.564003,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
2340.96039,2260.586139,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
2400.981883,2320.607631,129,1,76,25.0,,,96.3020030816641,,,,,,,,,1498,463
2431.860017,2351.485671,129,1,76,37.49250149970006,,,98.76218066894917,,,,,,,,,1498,463
2461.004196,2351.485671,150,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1557,466
2521.023115,2387.388302,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
2581.043012,2447.408186,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
2641.066045,2507.431221,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
2701.086538,2567.451715,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
2761.10446,2627.469634,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
2821.124923,2687.490098,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
2881.149452,2747.514627,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
2941.168996,2807.534173,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3001.185519,2867.550693,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3061.202666,2927.567841,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3121.223096,2987.588276,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3181.247791,3047.612967,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3241.269731,3107.634906,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3301.290137,3167.655311,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3361.325551,3227.690728,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3421.339671,3287.704845,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3481.359549,3347.724723,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3541.381572,3407.74675,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3601.404625,3467.769801,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3661.432505,3527.79768,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3721.454874,3587.82005,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3781.478725,3647.843902,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3841.497959,3707.863134,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3901.518484,3767.883662,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
3961.543649,3827.908824,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
4021.567105,3887.932282,176,1,126,37.49250149970006,,,98.76218066894917,,,,,,,,,1689,468
