time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.098081,1.7e-05,18,0,0,,,,,,,,,,,,,35,12
120.119692,1.7e-05,18,0,0,,,,,,,,,,,,,35,12
180.1347,1.7e-05,18,0,0,,,,,,,,,,,,,35,12
240.156595,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
300.177961,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
360.208985,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
420.256579,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
480.276635,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
540.294035,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
600.321086,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
660.346413,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
720.372284,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
780.394552,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
840.455515,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
900.463715,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
960.499044,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1020.512979,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1080.535704,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1140.574079,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1200.615248,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1260.642692,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1320.818967,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1380.696391,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1440.746472,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1500.76789,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1560.835836,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1621.179142,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1680.887754,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1740.971027,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1800.93335,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1860.977189,1.7e-05,19,0,0,,,,,,,,,,,,,37,12
1920.983287,1.7e-05,36,0,0,,,,,,,,,,,,,108,22
1980.999281,1.7e-05,37,0,0,,,,,,,,,,,,,104,23
2041.009361,1.7e-05,40,0,0,,,,,,,,,,,,,114,23
2101.013402,1.7e-05,40,0,0,,,,,,,,,,,,,114,23
2161.025757,1.7e-05,45,0,0,,,,,,,,,,,,,133,27
2221.039157,1.7e-05,46,0,0,,,,,,,,,,,,,137,27
2281.057734,35.603637,49,0,0,,,,,,,,,,,,,149,30
2341.063469,95.609361,48,0,0,,,,,,,,,,,,,147,30
2401.06792,155.613814,48,0,0,,,,,,,,,,,,,147,30
2461.072766,215.618666,48,0,0,,,,,,,,,,,,,147,30
2521.078819,275.624723,48,0,0,,,,,,,,,,,,,147,30
2581.083157,335.629041,48,0,0,,,,,,,,,,,,,147,30
2641.093127,395.639027,47,0,0,,,,,,,,,,,,,145,30
2719.966291,474.512184,47,0,0,,,,,,,,,,,,,145,30
2779.989736,534.535624,47,0,0,,,,,,,,,,,,,145,30
2839.994495,594.540383,47,0,0,,,,,,,,,,,,,145,30
2899.998469,654.544351,47,0,0,,,,,,,,,,,,,145,30
2960.002774,714.548657,47,0,0,,,,,,,,,,,,,145,30
3020.013352,774.559242,47,0,0,,,,,,,,,,,,,145,30
3080.017782,834.563665,47,0,0,,,,,,,,,,,,,145,30
3140.023214,894.5691,47,0,0,,,,,,,,,,,,,145,30
3200.032962,954.578852,47,0,0,,,,,,,,,,,,,145,30
3260.041316,1014.58721,47,0,0,,,,,,,,,,,,,145,30
3320.045601,1074.591498,47,0,0,,,,,,,,,,,,,145,30
3380.049928,1134.595819,46,0,0,,,,,,,,,,,,,143,30
3440.055179,1194.601075,46,0,0,,,,,,,,,,,,,143,30
3500.059322,1254.605208,46,0,0,,,,,,,,,,,,,143,30
3560.063615,1314.609516,46,0,0,,,,,,,,,,,,,143,30
3620.068091,1374.613978,46,0,0,,,,,,,,,,,,,143,30
3680.072259,1434.61814,44,0,0,,,,,,,,,,,,,140,30
3740.076079,1494.621962,44,0,0,,,,,,,,,,,,,140,30
3800.080386,1554.626275,44,0,0,,,,,,,,,,,,,140,30
3860.08462,1614.630505,44,0,0,,,,,,,,,,,,,140,30
3920.088416,1674.634297,44,0,0,,,,,,,,,,,,,140,30
3980.107512,1734.6534,43,0,0,,,,,,,,,,,,,137,30
4040.111295,1794.657179,43,0,0,,,,,,,,,,,,,137,30
4100.116545,1854.662439,43,0,0,,,,,,,,,,,,,137,30
4160.127877,1914.673761,43,0,0,,,,,,,,,,,,,137,30
4220.14354,1974.689426,43,0,0,,,,,,,,,,,,,137,30
4280.1477,2034.693594,42,0,0,,,,,,,,,,,,,130,30
4340.153318,2094.699203,42,0,0,,,,,,,,,,,,,130,30
4400.159868,2154.705752,42,0,0,,,,,,,,,,,,,130,30
4460.165713,2214.711598,42,0,0,,,,,,,,,,,,,130,30
4520.185644,2274.731537,42,0,0,,,,,,,,,,,,,130,30
4580.196702,2334.742591,42,0,0,,,,,,,,,,,,,130,30
4640.201053,2394.746942,42,0,0,,,,,,,,,,,,,130,30
4700.205629,2454.751511,42,0,0,,,,,,,,,,,,,130,30
4760.210521,2514.756408,42,0,0,,,,,,,,,,,,,130,30
4820.215232,2574.761119,42,0,0,,,,,,,,,,,,,130,30
4880.219566,2634.765464,41,0,0,,,,,,,,,,,,,128,30
4940.224661,2694.770545,41,0,0,,,,,,,,,,,,,128,30
5000.228394,2754.774275,41,0,0,,,,,,,,,,,,,128,30
5060.235878,2814.781765,41,0,0,,,,,,,,,,,,,128,30
5120.240502,2874.786394,41,0,0,,,,,,,,,,,,,128,30
5180.244806,2934.790704,41,0,0,,,,,,,,,,,,,128,30
5240.255493,2994.801391,41,0,0,,,,,,,,,,,,,128,30
5300.272051,3054.817941,41,0,0,,,,,,,,,,,,,128,30
5360.295519,3114.841408,40,0,0,,,,,,,,,,,,,127,30
5420.299507,3174.845383,40,0,0,,,,,,,,,,,,,127,30
5480.309195,3234.85508,40,0,0,,,,,,,,,,,,,127,30
