time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.141034,1.9e-05,41,0,0,,,,,,,,,,,,,3518,2019
120.172633,1.9e-05,42,0,0,,,,,,,,,,,,,3522,2019
180.195425,12.221946,46,0,0,,,,,,,,,,,,,3321,2019
240.199333,72.225866,46,0,0,,,,,,,,,,,,,3321,2019
300.207249,132.233772,40,0,0,,,,,,,,,,,,,2968,2019
360.232552,192.259087,40,0,0,,,,,,,,,,,,,2968,2019
420.259139,252.285671,37,0,0,,,,,,,,,,,,,2813,2019
480.303525,312.330049,36,0,0,,,,,,,,,,,,,2809,2019
540.303172,372.329707,36,0,0,,,,,,,,,,,,,2809,2019
600.327611,432.354136,35,0,0,,,,,,,,,,,,,2667,2019
660.362696,492.38922,35,0,0,,,,,,,,,,,,,2667,2019
720.375637,552.402161,33,0,0,,,,,,,,,,,,,2528,2019
780.382693,612.409227,29,0,0,,,,,,,,,,,,,2361,2019
840.414306,672.440839,29,0,0,,,,,,,,,,,,,2361,2019
900.424536,732.451065,29,0,0,,,,,,,,,,,,,2361,2019
930.389937,762.41635,28,0,0,,,,,,,,,,,,,2359,2019
960.449324,762.41635,38,30,50,,,,,,,,,,,,,3539,2019
1020.530886,762.41635,41,30,50,,,,,,,,,,,,,3544,2019
1080.500406,762.41635,43,30,50,,,,,,,,,,,,,3560,2024
1140.537044,762.41635,43,30,50,,,,,,,,,,,,,3560,2024
1200.606057,762.41635,44,30,50,,,,,,,,,,,,,3561,2024
1260.698881,762.41635,45,30,50,,,,,,,,,,,,,3607,2024
1320.683419,762.41635,46,30,50,,,,,,,,,,,,,3608,2025
1380.663975,762.41635,48,30,50,,,,,,,,,,,,,3616,2025
1440.739932,762.41635,48,30,50,,,,,,,,,,,,,3616,2025
1500.772914,762.41635,48,30,50,,,,,,,,,,,,,3616,2025
