time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.085892,2.5e-05,20,0,0,,,,,,,,,,,,,85,27
120.116877,2.5e-05,26,0,0,,,,,,,,,,,,,91,27
180.13877,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
240.18151,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
300.263968,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
360.26702,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
420.328418,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
480.318979,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
540.439655,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
600.477807,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
660.437459,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
720.521684,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
780.605967,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
840.598085,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
900.575158,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
960.738284,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1020.661079,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1080.697196,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1140.753577,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1200.738204,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1260.829863,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1320.783228,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1380.812711,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1440.941252,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1500.947528,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1560.973203,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1621.053515,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
1680.981079,2.5e-05,27,0,0,,,,,,,,,,,,,92,27
