time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
60.137642,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
120.157594,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
180.179979,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
240.197652,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
300.21869,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
360.238121,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
420.261079,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
480.285388,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
540.307069,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
600.327724,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
660.351885,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
720.368511,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
780.389254,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
840.414427,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
900.435978,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
960.4577,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1020.473784,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1080.502117,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1140.521101,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1200.541056,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1260.563978,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1320.586542,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1380.609662,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1440.628034,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1500.654859,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1560.676142,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1620.696328,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1680.720602,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1740.741725,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1800.763781,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1860.78431,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1920.805706,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
1980.829282,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2040.850934,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2100.876436,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2160.897845,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2220.91682,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2280.935234,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2340.956255,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2400.97934,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2461.000594,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2521.028433,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2581.051131,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2641.073176,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
2701.093296,2.6e-05,2,0,0,,,,,,,,,,,,,27,27
