time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
24.327488,15.941878,16,0,0,,,,,,,,,,,,,161,82
62.355233,53.225923,21,2,10,60.507246376811594,73,94,84.21052631578947,31,49,45.348837209302324,10,29,50.526315789473685,32,16,166,84
101.58428,91.788923,30,1,20,47.083333333333336,99,127,96.44670050761421,63,127,0.0,0,0,38.70967741935484,36,0,177,84
289.906245,265.062495,40,1,30,47.94117647058824,129,197,97.31543624161074,100,190,0.0,0,0,39.130434782608695,29,7,201,84
457.539087,407.506567,52,1,40,51.53234960272418,87,367,97.74436090225564,42,348,0.0,0,0,69.56521739130434,45,19,230,87
695.27151,608.008004,59,7,50,48.56348470806302,246,336,86.86868686868688,127,303,12.5,83,18,43.01075268817204,36,15,248,89
1059.115283,854.07989,72,9,60,51.86064924782264,271,384,84.88964346349745,171,329,17.24137931034483,64,36,58.51063829787234,36,19,283,89
1559.905884,1284.076163,79,11,69,56.211393273850376,258,561,84.9194729136164,134,446,28.143712574850298,88,100,48.113207547169814,36,15,290,89
8261.191006,2584.494564,88,13,79,53.0722891566265,470,498,84.50704225352112,285,375,27.77777777777778,158,114,29.213483146067414,27,9,313,89
44041.79114,3641.702477,98,10,89,51.52173913043478,465,483,89.3470790378007,374,406,10.344827586206897,44,46,80.41237113402062,47,31,340,89
