time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
11.392863,7.237669,10,0,0,,,,,,,,,,,,,427,395
19.135514,14.384293,5,1,10,32.231404958677686,33,6,76.92307692307693,9,1,0.0,0,0,29.292929292929294,24,5,585,407
32.021634,24.797038,8,2,12,46.76258992805755,41,24,83.33333333333334,9,11,0.0,0,0,42.857142857142854,32,13,773,416
57.664,48.136936,15,5,13,63.07053941908713,138,76,77.92207792207793,24,36,85.71428571428571,37,23,100.0,77,17,921,428
98.224438,86.732718,22,4,18,44.84679665738162,141,63,73.52941176470588,46,54,25.0,43,3,45.1219512195122,52,6,1028,432
175.441718,160.961017,33,6,24,48.17658349328215,93,158,73.73271889400922,46,114,32.38095238095238,32,36,24.46808510638298,15,8,1069,436
257.970608,238.841878,13,1,32,46.80555555555556,269,68,97.79179810725552,242,68,0.0,0,0,28.723404255319153,27,0,1012,441
284.305384,263.647601,20,1,42,45.33333333333333,73,63,92.5925925925926,45,55,0.0,0,0,39.130434782608695,28,8,1170,441
335.833537,312.850024,30,1,21,47.071583514099785,107,110,95.74468085106383,80,100,0.0,0,0,39.784946236559136,27,10,1228,446
427.114519,398.162741,55,1,29,49.3993993993994,164,165,96.55172413793103,119,161,0.0,0,0,46.22641509433962,45,4,1436,448
549.290028,520.336151,55,1,39,48.6013986013986,125,292,98.7012987012987,90,290,0.0,0,0,27.40740740740741,35,2,1436,448
697.419663,665.683788,59,3,49,45.308056872037916,98,380,95.0413223140496,80,380,0.0,0,0,17.142857142857142,18,0,1453,453
957.372258,920.628087,69,3,59,58.333333333333336,250,485,95.07640067911714,81,479,23.448275862068964,133,3,42.857142857142854,36,3,1476,453
1320.174099,1270.501304,84,3,69,59.42622950819673,486,384,95.7910014513788,288,372,21.764705882352942,136,12,65.26315789473685,62,0,1545,453
1588.169498,1534.947407,92,6,79,49.27623642943305,342,475,92.87531806615776,274,456,6.177606177606178,32,16,41.05263157894737,36,3,1674,453
1979.537927,1917.328715,99,9,89,49.892357373519914,420,507,90.19165727170237,311,489,10.250569476082005,72,18,39.784946236559136,37,0,1692,454
2536.87414,2458.545923,110,10,99,48.22901504124212,396,598,89.98988877654196,312,578,6.73469387755102,55,11,41.30434782608695,29,9,1712,456
2986.983774,2890.110224,120,11,109,51.32743362831859,449,711,89.99081726354453,299,681,14.828544949026876,130,30,21.73913043478261,20,0,1750,463
3692.127253,3582.770215,129,7,119,64.5384302562017,801,786,94.27609427609428,363,757,38.25275657336726,422,29,17.391304347826086,16,0,1769,463
4515.510959,4394.523182,139,5,129,72.78195488721805,806,1130,96.19860356865787,159,1081,51.796875,614,49,36.26373626373626,33,0,1794,466
5460.148355,5307.062519,149,3,139,74.33566433566433,1268,858,97.91216702663786,576,784,52.17391304347826,646,74,50.54945054945055,46,0,1855,466
6217.252673,6036.941833,159,3,149,48.92156862745098,520,977,98.05238415043654,483,977,0.6756756756756757,10,0,29.67032967032967,27,0,1876,471
