time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
15.367916,11.547447,12,0,0,,,,,,,,,,,,,1013,703
58.628182,53.258743,21,1,10,51.61290322580645,49,95,93.75,37,53,0.0,0,0,52.42718446601942,12,42,1187,718
150.916796,142.091329,33,5,20,67.21991701244814,85,239,76.14213197969542,34,116,53.68421052631579,33,69,75.78947368421053,18,54,1456,735
287.485912,275.878005,38,6,30,70.20648967551622,222,329,81.63265306122449,87,153,78.69565217391305,103,134,71.42857142857143,32,42,1468,739
453.936192,439.293897,48,10,40,76.07142857142857,174,465,74.27055702917772,59,221,75.67567567567568,94,186,84.94623655913979,21,58,1495,742
664.572176,643.46014,57,14,48,53.83877159309021,347,382,71.57894736842105,135,205,51.06382978723404,163,143,79.1044776119403,49,34,1515,745
1126.087146,873.674054,65,16,58,71.2468193384224,170,670,71.95571955719558,104,286,74.39703153988869,56,345,50.0,10,39,1692,749
1382.847138,1110.315152,73,18,65,60.36231884057971,287,692,72.86821705426357,87,383,60.7421875,170,267,69.33333333333334,30,42,1947,753
1690.233325,1378.026816,83,22,75,75.71428571428571,277,889,70.53941908713693,62,448,78.19444444444444,203,360,95.87628865979381,12,81,2013,756
2327.479427,1775.414544,92,22,83,69.48275862068965,369,931,74.20924574209245,149,461,74.52574525745257,200,431,55.68181818181818,20,39,2060,764
2902.66479,2162.61734,98,22,93,62.864583333333336,651,956,76.92307692307693,190,510,82.41758241758241,412,398,95.0,49,48,2077,774
3563.668607,2654.751156,107,20,102,66.47058823529412,407,1055,80.41237113402062,226,554,61.512027491408936,158,475,43.333333333333336,23,26,2119,781
4353.650743,3274.063704,117,22,108,63.33333333333333,439,1082,79.9623706491063,223,627,54.40251572327044,193,431,42.5287356321839,23,24,2235,786
5687.691072,3976.717815,122,23,117,71.33333333333334,485,1351,80.79930495221546,243,687,68.69565217391305,207,618,79.7752808988764,35,46,2246,787
6750.193097,4857.597723,132,23,126,74.32539682539682,352,1521,81.61582852431987,249,741,66.94214876033058,86,724,75.25773195876289,17,56,2282,788
8269.994311,5822.698593,142,23,132,81.98529411764706,327,1903,83.07926829268293,218,872,80.38167938931298,91,962,88.77551020408163,18,69,2420,794
9398.985819,6636.878035,150,24,142,68.83561643835617,706,1604,83.68794326241135,332,848,69.76950354609929,339,728,53.75,35,28,2432,802
10910.364109,7461.417417,160,25,152,59.285714285714285,332,1494,83.83635144198524,290,960,35.30201342281879,35,491,50.505050505050505,7,43,2461,808
14298.464068,8317.133914,167,27,160,61.46341463414634,921,1597,83.4902699309479,375,955,56.15453728661276,510,589,88.40579710144928,36,53,2470,810
18993.231498,9431.873892,177,28,170,78.30409356725147,263,2415,83.63417569193743,132,1258,71.6867469879518,116,1074,100.0,15,83,2502,825
21428.351627,10619.440547,187,26,177,75.60773480662984,428,2309,85.74673480976718,199,1311,64.43181818181817,212,922,93.93939393939394,17,76,2548,827
24090.786375,11886.653482,197,29,187,79.26701570680629,723,2305,84.90059108006449,423,1157,73.65591397849462,278,1092,78.78787878787878,22,56,2578,830
26565.724117,13163.215157,208,30,197,77.81094527363183,531,2597,85.11722731906218,223,1447,70.71428571428572,279,1107,73.46938775510205,29,43,2648,832
31468.654687,14721.235751,217,31,207,74.38388625592417,551,2588,85.43689320388349,450,1310,64.07766990291263,90,1230,59.0,11,48,2666,833
38310.366642,16582.968613,227,32,217,73.07692307692307,342,2888,85.64814814814815,342,1508,60.64814814814815,0,1310,70.0,0,70,2682,844
46331.715672,18674.566647,237,32,227,73.37662337662337,399,2991,86.28318584070797,399,1551,61.06194690265486,0,1380,60.0,0,60,2692,849
49515.708871,20888.032293,247,32,237,78.00829875518673,282,3478,86.86440677966102,282,1768,69.49152542372882,0,1640,70.0,0,70,2704,851
55745.818664,23141.074961,257,32,247,78.48605577689243,289,3651,87.39837398373984,289,1861,69.51219512195121,0,1710,80.0,0,80,2715,854
64206.515289,25387.916682,267,31,257,78.37164750957855,633,3458,88.24677860210855,394,1866,70.859375,222,1592,17.17171717171717,17,0,2729,855
70931.330776,27432.159488,277,33,267,79.0590405904059,553,3732,87.87082238077356,200,2140,71.39097744360903,343,1556,47.42268041237113,10,36,2759,855
