time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
671.372759,3.944703,11,0,0,,,,,,,,,,,,,125,40
682.967708,12.75003,12,2,10,34.76702508960574,179,56,83.33333333333334,32,48,12.5,58,0,71.42857142857143,89,8,140,41
702.027629,28.951119,19,7,20,46.965699208443276,117,128,76.38888888888889,23,87,30.76923076923077,46,18,54.054054054054056,48,23,139,42
1536.000262,59.029896,31,7,25,71.875,42,303,71.42857142857143,17,123,63.1578947368421,5,115,90.42553191489363,20,65,217,63
1591.470742,106.626049,40,12,30,61.029411764705884,40,375,61.016949152542374,10,170,51.724137931034484,6,144,89.47368421052632,24,61,256,66
1763.114419,160.771075,51,7,40,82.40635641316686,108,618,83.54430379746836,54,276,76.92307692307693,9,291,100.0,45,51,267,69
1846.425977,237.761844,60,11,50,73.12326227988879,167,622,79.26829268292683,99,291,70.41666666666667,43,295,57.009345794392516,25,36,282,69
1966.866926,344.940284,67,14,60,63.59375000000001,319,699,77.57166947723441,77,383,72.88135593220339,199,276,79.1044776119403,43,40,294,69
2088.634244,462.721357,69,15,70,41.56954156954157,647,482,78.32512315270937,43,434,73.13432835820896,534,43,100.0,70,5,299,69
2211.791575,571.766408,78,23,77,67.0945945945946,299,849,71.94244604316546,89,411,76.81159420289855,160,400,90.78947368421053,50,38,324,69
2662.044421,726.90495,85,22,80,66.95121951219512,377,979,72.63294422827497,87,473,87.01298701298701,244,453,100.0,46,53,337,72
2883.209766,912.058916,95,21,88,82.86516853932584,99,1376,75.7396449704142,69,571,88.09523809523809,7,733,100.0,23,72,355,73
3553.817674,1148.784119,105,22,95,81.46464646464646,187,1426,77.41251325556733,145,585,85.95744680851064,19,789,77.31958762886599,23,52,370,77
