time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
4.808228,2.709976,9,0,0,,,,,,,,,,,,,102,86
22.5523,18.92629,21,2,10,33.90557939914164,28,51,71.42857142857143,12,38,0.0,0,0,30.526315789473685,16,13,134,90
60.431462,53.916411,35,1,17,47.39454094292804,93,98,96.0,61,83,0.0,0,0,44.339622641509436,32,15,176,91
141.301995,132.2291,37,3,27,66.72077922077922,225,186,90.9090909090909,65,175,41.596638655462186,89,10,63.1578947368421,71,1,179,91
355.904008,305.592947,46,3,37,64.02439024390245,337,233,93.4065934065934,125,215,43.82716049382716,168,9,50.0,44,9,204,94
554.727275,479.930654,56,1,47,47.699999999999996,160,317,98.46827133479212,143,307,0.0,0,0,29.03225806451613,17,10,239,94
785.699366,701.975188,66,3,56,51.16666666666667,363,251,94.81216457960645,289,241,3.6363636363636362,10,10,70.32967032967034,64,0,272,96
1281.536397,1136.411511,78,3,66,53.6376604850214,219,533,95.8904109589041,144,486,10.615384615384615,40,29,55.78947368421052,35,18,317,97
1901.295036,1627.567998,86,12,76,63.32916145181476,576,436,85.1063829787234,283,357,38.971583220568334,233,55,78.50467289719626,60,24,336,98
2947.48032,2547.163962,97,13,86,64.0,397,755,85.1808634772462,142,588,44.0,221,153,51.61290322580645,34,14,373,102
3796.32407,3259.593616,107,16,96,60.81959020489756,587,630,83.68200836820083,349,451,40.21052631578947,222,160,36.84210526315789,16,19,409,110
5279.155312,4249.637913,115,17,106,63.25602546612097,724,781,84.44022770398482,287,603,48.30508474576271,406,154,52.32558139534884,31,24,425,114
7298.031644,5456.023402,124,16,116,67.31092436974791,707,1018,86.53846153846155,141,849,54.58089668615984,526,147,60.46511627906976,40,22,453,130
9737.293983,7351.545428,134,16,125,54.53125,528,868,87.4493927125506,365,715,20.8130081300813,118,138,63.1578947368421,45,15,468,131
