time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
33.684971,22.72045,19,0,0,,,,,,,,,,,,,2461,1168
111.993633,100.809898,20,1,10,42.54545454545455,28,89,96.7741935483871,24,66,0.0,0,0,23.47826086956522,4,23,2646,1168
325.50158,297.247977,48,3,20,64.60905349794238,135,179,85.0,58,112,42.63157894736842,42,39,65.625,35,28,2899,1171
660.177241,631.920026,48,3,30,72.16494845360825,235,255,91.21621621621621,86,184,49.063670411985015,85,46,76.72413793103449,64,25,2899,1171
1024.498211,992.839674,54,3,40,60.637087599544934,349,328,93.90862944162437,93,277,43.96887159533074,187,34,61.72839506172839,69,17,2930,1182
1272.522051,1234.704079,57,1,50,47.55859375,249,238,98.29059829059828,225,235,0.0,0,0,28.125,24,3,2991,1186
1664.082853,1624.779537,51,4,57,51.684311838306066,761,219,96.84210526315789,269,191,67.74193548387096,415,16,70.0,77,12,2985,1188
2054.362334,2007.573134,64,1,58,50.32317636195752,246,299,98.19639278557113,214,276,0.0,0,0,58.51063829787234,32,23,3017,1196
2566.302317,2510.355985,73,1,60,49.72244250594766,260,367,98.63945578231292,237,343,0.0,0,0,45.19230769230769,23,24,3152,1315
3125.081572,3059.235417,85,3,69,86.56614119259767,776,487,96.20991253644316,323,337,74.20333839150227,349,140,100.0,104,10,3293,1321
3783.151938,3710.750563,88,5,79,82.25709112854557,851,599,94.38775510204081,294,446,76.55571635311144,464,141,100.0,93,12,3531,1515
4290.76606,4210.588177,91,5,89,57.065217391304344,1112,604,94.53302961275627,283,547,73.5632183908046,743,51,100.0,86,6,3550,1520
5081.003537,4980.485548,103,5,98,63.17727511835876,422,779,94.60946094609461,214,646,32.44444444444444,174,118,53.2608695652174,34,15,3597,1534
5945.580117,5808.025752,111,7,101,67.74654597427346,549,873,93.34657398212512,260,680,43.24324324324324,256,176,53.76344086021505,33,17,3613,1534
6993.618912,6834.365194,124,6,111,85.70807993049522,1202,771,94.67989179440937,449,601,75.45454545454545,669,161,100.0,84,9,3672,1538
8427.969144,8224.543331,134,6,121,80.47999999999999,1081,931,95.27754763877383,396,754,66.4440734557596,626,170,69.47368421052632,59,7,3702,1538
9345.031215,9108.945855,140,9,131,49.407846039970394,1721,860,93.27217125382263,382,838,81.3953488372093,1247,19,100.0,92,3,3831,1538
