time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
508.790851,453.424564,28,0,0,,,,,,,,,,,,,237,126
2243.564061,2188.194955,28,1,10,33.33333333333333,18,72,90.0,10,71,0.0,0,0,10.843373493975903,8,1,237,126
4558.048087,4428.710264,45,1,20,49.37759336099585,67,171,95.95959595959596,40,150,0.0,0,0,49.48453608247423,27,21,265,131
8342.979661,8213.639461,45,2,30,85.35502958579882,317,260,95.8904109589041,40,240,81.25,198,10,69.53125,79,10,265,131
10867.744623,10723.893988,52,1,40,48.574686431014825,113,313,98.98477157360406,89,301,0.0,0,0,31.57894736842105,24,12,284,131
22342.081936,21752.225064,64,3,50,71.69287696577243,428,347,94.37751004016064,131,339,53.37423312883436,255,6,46.808510638297875,42,2,340,131
31670.455725,31078.037364,70,8,60,48.27856025039124,294,323,87.39495798319328,219,301,10.204081632653061,39,21,38.94736842105263,36,1,347,131
43488.368742,41911.063391,79,3,70,49.72972972972973,269,545,96.26436781609196,164,506,4.025764895330113,79,14,48.80952380952381,26,25,364,132
50566.86772,48766.231715,89,8,80,47.53012048192771,389,487,90.33078880407125,258,452,8.974358974358974,105,35,19.047619047619047,26,0,389,132
60005.851545,56669.991517,96,8,89,49.51086956521739,466,636,91.53318077803205,239,561,10.775862068965516,191,56,46.75324675324675,36,19,400,132
85378.977729,80687.588782,106,9,98,51.55,503,528,90.81419624217119,415,455,13.157894736842104,62,63,39.130434782608695,26,10,422,132
