time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
8.561078,6.13935,10,0,0,,,,,,,,,,,,,58,26
37.102882,30.744501,20,1,10,38.57142857142858,38,70,90.9090909090909,20,70,0.0,0,0,19.78021978021978,18,0,78,27
337.809376,159.644312,31,1,20,43.333333333333336,58,150,95.47738693467338,40,150,0.0,0,0,19.78021978021978,18,0,94,28
2557.966742,661.156902,40,3,30,45.294117647058826,106,202,90.60402684563759,68,202,6.896551724137931,20,0,19.565217391304348,18,0,103,29
3651.941008,1540.971688,50,1,40,46.36363636363636,98,310,97.74436090225564,80,310,0.0,0,0,19.78021978021978,18,0,133,34
5209.457172,2870.897283,60,1,50,47.87037037037037,177,340,98.19639278557113,150,340,0.0,0,0,29.67032967032967,27,0,155,35
8079.114459,4795.497001,70,1,60,49.609375,345,290,98.49749582637729,300,290,0.0,0,0,49.45054945054945,45,0,165,37
11240.893806,7247.620941,81,1,70,48.48075624577988,238,480,98.71244635193133,210,480,0.0,0,0,30.434782608695656,28,0,184,40
14425.416867,10301.181763,90,1,80,49.19594997022037,276,550,98.99749373433583,240,550,0.0,0,0,35.64356435643564,36,0,201,41
19005.157028,14165.946192,100,1,90,47.819148936170215,99,800,98.99888765294772,90,800,0.0,0,0,9.89010989010989,9,0,309,64
38822.057265,21588.277957,107,1,100,48.46153846153846,218,790,99.29789368104312,200,790,0.0,0,0,19.35483870967742,18,0,373,66
48437.397233,30583.798402,119,1,110,49.42477876106195,364,753,99.17355371900827,327,753,0.0,0,0,36.633663366336634,37,0,390,67
