time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
40.28234,0.947016,10,0,0,,,,,,,,,,,,,115,61
71.392644,5.674946,20,5,10,57.14285714285714,22,138,54.94505494505495,15,35,68.88888888888889,1,61,48.484848484848484,6,42,169,66
86.118788,13.715404,30,3,20,69.79166666666666,41,294,89.00523560209425,36,134,77.89473684210526,2,146,17.17171717171717,3,14,209,69
216.860989,30.552497,39,3,30,64.70588235294117,113,365,92.78350515463917,67,203,58.620689655172406,35,146,19.101123595505616,11,16,236,74
237.908544,50.704213,49,5,40,62.02090592334495,119,462,88.31168831168831,63,277,44.73684210526316,37,153,47.674418604651166,19,32,279,74
270.718647,78.856847,58,5,49,63.078375826251175,190,478,91.28630705394191,177,263,38.297872340425535,4,176,44.85981308411215,9,39,297,75
61405.962264,106.914476,65,5,59,71.37096774193549,335,747,92.49563699825481,124,406,73.68421052631578,170,292,89.70588235294117,41,49,328,81
61485.170388,147.714938,75,7,68,52.17391304347826,90,630,90.06211180124224,38,542,11.5625,16,58,68.75,36,30,352,81
67344.510055,196.568771,85,11,75,65.12658227848101,122,907,86.3697705802969,111,529,40.54054054054054,1,299,89.8989898989899,10,79,375,92
68927.848096,245.905812,93,10,85,79.3820224719101,378,1220,89.07363420427554,151,599,88.09523809523809,191,567,89.87341772151899,36,54,419,110
