time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
313.562061,286.996593,21,0,0,,,,,,,,,,,,,5686,1929
1527.516499,1460.096402,49,1,20,47.467811158798284,250,303,95.47738693467338,138,242,0.0,0,0,44.58762886597938,112,61,5928,1979
3427.759351,3350.315738,60,6,40,51.63766632548619,392,617,85.75031525851198,206,474,22.418478260869566,97,68,38.588235294117645,89,75,6097,2003
6096.771589,5985.673573,80,11,60,56.70289855072463,580,985,81.7347789824854,262,718,25.423728813559322,160,140,74.80314960629921,158,127,6514,2149
9575.462941,9426.917957,102,1,80,50.22459292532285,883,906,98.81175734834271,781,799,0.0,0,0,54.56919060052219,102,107,7343,2214
13544.207661,13343.123366,120,1,100,48.04956402019275,648,1446,99.14872308462694,552,1428,0.0,0,0,29.765013054830288,96,18,7462,2241
18950.293808,18703.550384,145,3,120,55.585672797676665,1304,1567,97.54064193413923,1043,1297,12.605042016806722,112,188,59.84455958549223,149,82,8061,2291
24992.143516,24709.192143,163,1,140,48.92581403155421,1247,1668,99.49892627057982,1138,1642,0.0,0,0,34.70437017994858,109,26,8324,2339
31882.595659,31562.310052,181,7,160,60.84640426161586,1832,2280,95.74468085106383,1263,1797,26.7601146862058,419,421,50.11820330969267,150,62,8429,2383
40169.601336,39801.312266,202,5,180,49.13371247189525,1514,2201,97.27626459143968,1340,2160,2.794076557697681,61,39,29.947916666666668,113,2,8567,2416
48674.460438,48261.510092,221,5,200,63.82342385452805,1887,3448,97.57317988491369,1331,2569,33.18250377073906,482,838,29.947916666666668,74,41,8649,2446
58848.423905,58386.152868,240,5,220,54.90774101976198,2606,2423,97.77171441564347,2008,2292,12.308746289107102,408,131,49.73821989528796,190,0,8696,2455
73857.031929,73308.882202,263,5,240,56.05741242597612,1814,3771,97.93707022296311,1300,3400,13.598326359832635,424,226,61.197916666666664,90,145,8886,2494
