time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
54.516795,50.927463,10,0,0,,,,,,,,,,,,,2241,1943
157.623791,143.926689,28,15,20,66.12665684830633,97,378,40.26845637583892,5,55,50.0,8,54,85.34704370179949,84,269,2329,1968
573.912224,507.613281,48,7,28,76.68285912560722,430,675,74.34944237918215,46,354,69.23076923076923,76,284,90.07832898172323,308,37,2386,1968
17447.043344,1138.537437,66,9,47,81.28628852166145,461,1424,82.16216216216216,279,481,81.55784650630011,94,663,92.80000000000001,88,280,2632,1970
18583.395277,1677.593534,86,4,67,92.66666666666666,267,2513,95.38461538461539,84,1156,87.6923076923077,179,961,100.0,4,396,2718,1987
21357.810169,2500.659158,105,4,86,91.65789473684211,441,3146,96.47058823529412,177,1463,90.58823529411765,228,1319,100.0,36,364,2763,1989
25013.700684,3805.27196,126,4,106,83.95652173913042,338,3524,97.14285714285714,197,1843,68.52380952380952,95,1344,95.75,46,337,2814,1992
29059.665899,5483.423062,147,4,126,93.51971857063506,535,4516,97.21115537848605,462,1978,90.4,24,2236,89.769820971867,49,302,2922,2024
46581.021893,7640.650611,167,8,146,84.95161290322581,841,4426,95.0413223140496,615,2145,75.24305555555556,172,1995,81.73076923076923,54,286,3058,2082
64893.317905,10098.449133,186,9,166,85.15502214602087,561,5399,95.0363196125908,335,2805,76.49390243902438,195,2314,74.93975903614458,31,280,3127,2107
