time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
92.813235,53.936712,11,0,0,,,,,,,,,,,,,113,432
499.566608,414.10459,35,3,50,24.30676992255808,2597,158,,,,53.191489361702125,561,6,73.61623616236163,2036,152,1343,442
1822.538672,1683.931692,87,2,66,0.0,0,0,,,,0.0,0,0,0.0,0,0,1254,461
3546.520656,3381.750237,99,2,88,33.9622641509434,5142,388,,,,92.93527803099362,3054,315,79.72531066056246,2088,73,1357,465
7019.03948,6780.844004,149,2,122,0.0,0,0,,,,0.0,0,0,0.0,0,0,1799,468
11749.191298,11399.002407,186,4,149,31.676300578034684,6381,473,,,,63.34066624764299,4720,340,68.70554765291608,1661,133,1988,475
21146.197865,20538.423652,237,4,199,0.6666349221465645,56,84,,,,1.5135135135135136,56,84,0.0,0,0,2116,477
31839.701215,31053.536586,286,4,236,14.015923689372666,3195,449,,,,26.010724316963145,2607,449,23.98042414355628,588,0,2200,478
47243.402716,46081.43657,336,4,286,18.72258064516129,5260,544,,,,34.88421052631579,4427,544,33.98612811097511,833,0,2292,482
63351.191244,61717.634692,387,3,336,3.2275984667518474,1298,248,,,,6.226012793176972,1154,202,5.8212058212058215,144,46,2400,495
