time_elapsed,time_crosstest,snapshots,states,inferred_snapshots,total_savings,total_misses,total_hits,eg_savings,eg_misses,eg_hits,dt_savings,dt_misses,dt_hits,dtex_savings,dtex_misses,dtex_hits,snapshot_cov,total_cov
395.338848,377.087073,36,0,0,,,,,,,,,,,,,396,435
1785.902487,1722.110265,75,1,50,26.866777839540486,449,1001,98.30508474576271,449,1001,,,,,,,1448,449
4114.218635,3905.611275,112,3,80,36.22818654964792,1170,2380,96.36264929424539,1170,2380,,,,,,,1417,460
8633.101309,6548.391693,135,5,124,39.492753623188406,2108,3342,96.06909924202363,2108,3342,,,,,,,1621,473
14766.510295,12402.781139,186,5,164,40.87022132796781,2498,4002,96.3248369887374,2498,4002,,,,,,,1894,475
22076.591505,19550.952556,227,5,185,42.900568738968424,3200,5550,97.28708027573938,3200,5550,,,,,,,2010,478
32194.715809,29510.796479,272,8,230,43.625498007968126,4532,6418,96.49277405710257,4532,6418,,,,,,,2155,481
44669.94647,41635.890359,315,8,277,44.612794612794616,4659,8591,97.09093573679198,4659,8591,,,,,,,2219,491
60439.189468,56879.675354,362,5,323,45.72271386430678,5615,9885,98.43144725979552,5615,9885,,,,,,,2320,496
78819.193109,74905.480512,409,5,365,46.24352331606217,6848,11002,98.63513289495496,6848,11002,,,,,,,2398,497
