time_elapsed,pc_cov_cnt
0.0,3401
1.0,3651
2.0,3813
3.0,3855
4.0,3857
5.0,3862
6.0,3863
7.0,3874
8.0,3875
11.0,3878
12.0,3884
13.0,3885
15.0,3886
16.0,3904
17.0,3906
18.0,3906
24.0,3920
26.0,3925
31.0,3926
32.0,3930
33.0,3932
34.0,3933
35.0,3937
36.0,3939
38.0,3941
40.0,3943
42.0,3944
49.0,3944
50.0,3951
52.0,3951
56.0,3952
59.0,3962
65.0,3964
69.0,3968
72.0,3969
77.0,3971
102.0,3973
146.0,3997
158.0,4005
168.0,4006
184.0,4007
185.0,4007
188.0,4007
189.0,4008
226.0,4021
255.0,4023
367.0,4032
631.0,4035
952.0,4036
1164.0,4036
2729.0,4050
4472.0,4051
4513.0,4052
4915.0,4058
5005.0,4059
12868.0,4060
53540.0,4071
53701.0,4072
54696.0,4074
54722.0,4084
56192.0,4085
56196.0,4086
