time_elapsed,pc_cov_cnt
0.0,455
1.0,510
2.0,518
3.0,518
4.0,542
5.0,546
7.0,549
8.0,553
9.0,553
11.0,564
12.0,566
13.0,566
14.0,568
16.0,580
18.0,581
19.0,581
22.0,626
23.0,628
24.0,628
29.0,630
30.0,630
31.0,632
32.0,632
33.0,632
34.0,632
35.0,632
36.0,632
41.0,632
44.0,633
46.0,635
51.0,637
72.0,638
94.0,638
96.0,639
115.0,639
120.0,641
135.0,643
141.0,644
147.0,646
153.0,646
154.0,646
156.0,646
157.0,646
158.0,646
160.0,646
162.0,646
164.0,647
165.0,647
166.0,647
167.0,648
169.0,648
174.0,648
175.0,648
177.0,648
186.0,648
194.0,648
195.0,648
196.0,648
197.0,648
199.0,648
202.0,648
224.0,648
229.0,649
240.0,651
243.0,651
253.0,651
254.0,651
258.0,651
260.0,651
274.0,653
277.0,653
278.0,653
298.0,655
303.0,655
305.0,655
357.0,662
363.0,663
365.0,663
366.0,663
372.0,663
375.0,664
376.0,664
377.0,664
457.0,664
458.0,664
510.0,666
511.0,666
512.0,666
613.0,667
638.0,667
639.0,667
659.0,669
673.0,669
852.0,669
875.0,669
876.0,669
891.0,671
914.0,671
915.0,671
1354.0,680
1355.0,680
1356.0,680
1400.0,680
1422.0,680
1425.0,680
1479.0,680
1547.0,680
1549.0,680
2192.0,681
2207.0,682
2208.0,682
3019.0,682
3383.0,683
3512.0,684
3520.0,684
5968.0,684
9412.0,684
12635.0,684
12638.0,685
20244.0,686
20245.0,686
39220.0,687
40469.0,687
48740.0,687
48741.0,687
48744.0,687
48788.0,687
48789.0,687
55990.0,687
55991.0,687
56010.0,687
