time_elapsed,pc_cov_cnt
0.0,1827
14.0,1828
15.0,1828
16.0,1829
17.0,1835
19.0,1835
21.0,1847
25.0,1849
34.0,1851
35.0,1860
36.0,1860
38.0,1867
39.0,1868
41.0,1868
45.0,1870
47.0,1889
48.0,1890
50.0,1893
52.0,1898
53.0,1909
58.0,1909
60.0,1909
61.0,1909
71.0,1912
74.0,1912
75.0,1913
80.0,1913
81.0,1916
82.0,1916
84.0,1916
85.0,1916
91.0,1916
94.0,1917
97.0,1921
104.0,1926
105.0,1928
106.0,1928
124.0,1928
125.0,1954
128.0,1954
129.0,1954
139.0,1955
144.0,1955
150.0,1957
153.0,1960
155.0,1963
156.0,1964
160.0,1971
162.0,1971
169.0,1972
187.0,1972
188.0,1972
202.0,1974
203.0,1975
206.0,1977
209.0,1980
212.0,1980
214.0,1980
215.0,1981
220.0,1981
222.0,1982
225.0,1998
237.0,1998
245.0,1998
246.0,2018
248.0,2019
266.0,2019
267.0,2019
269.0,2019
270.0,2020
274.0,2020
288.0,2022
298.0,2025
311.0,2029
317.0,2030
318.0,2030
328.0,2030
338.0,2030
355.0,2031
359.0,2031
362.0,2033
388.0,2033
398.0,2033
407.0,2035
408.0,2035
432.0,2035
437.0,2038
441.0,2074
443.0,2074
450.0,2118
500.0,2122
502.0,2123
507.0,2123
511.0,2123
514.0,2123
515.0,2123
522.0,2124
523.0,2124
529.0,2128
532.0,2134
542.0,2148
551.0,2148
574.0,2148
603.0,2150
605.0,2161
613.0,2161
624.0,2168
640.0,2169
657.0,2171
658.0,2172
682.0,2172
707.0,2173
735.0,2173
747.0,2174
773.0,2174
777.0,2178
786.0,2181
824.0,2184
844.0,2185
847.0,2186
852.0,2187
952.0,2195
985.0,2195
1036.0,2196
1047.0,2197
1107.0,2201
1262.0,2203
1286.0,2203
1342.0,2203
1490.0,2203
1512.0,2205
1529.0,2206
1567.0,2206
1608.0,2209
1636.0,2209
1835.0,2211
1877.0,2211
1883.0,2214
1930.0,2215
2233.0,2221
2372.0,2222
2402.0,2224
2691.0,2224
2722.0,2224
2983.0,2226
3457.0,2226
3551.0,2230
4415.0,2231
4455.0,2231
4718.0,2232
4799.0,2234
4866.0,2235
5658.0,2253
5666.0,2253
5680.0,2253
5932.0,2254
6037.0,2255
8135.0,2256
10046.0,2256
10174.0,2256
10373.0,2256
10445.0,2256
10502.0,2256
11243.0,2257
11666.0,2257
14117.0,2257
18638.0,2258
23824.0,2259
30059.0,2260
30777.0,2262
32764.0,2264
34459.0,2266
37349.0,2267
40253.0,2270
45695.0,2271
50202.0,2271
52306.0,2272
53188.0,2274
53688.0,2275
57342.0,2276
66931.0,2277
75496.0,2278
