time_elapsed,pc_cov_cnt
0.0,5394
2.0,5413
3.0,5449
4.0,5458
5.0,5463
6.0,5468
7.0,5569
8.0,5574
9.0,5767
10.0,5772
11.0,5779
12.0,5783
13.0,5785
14.0,5788
15.0,5789
16.0,5813
20.0,5814
21.0,5848
23.0,5994
25.0,6000
26.0,6004
27.0,6007
29.0,6008
30.0,6015
31.0,6015
32.0,6015
34.0,6018
35.0,6019
36.0,6019
37.0,6039
39.0,6051
43.0,6051
44.0,6053
46.0,6053
47.0,6053
49.0,6053
51.0,6056
52.0,6102
54.0,6108
55.0,6109
56.0,6110
58.0,6114
59.0,6115
62.0,6115
63.0,6118
65.0,6123
66.0,6127
68.0,6128
69.0,6134
70.0,6135
74.0,6136
77.0,6343
79.0,6343
80.0,6346
81.0,6349
83.0,6350
90.0,6351
91.0,6421
97.0,6422
102.0,6425
106.0,6428
107.0,6429
116.0,6430
117.0,6431
124.0,6436
129.0,6439
130.0,6454
132.0,6567
133.0,6573
134.0,6575
135.0,6576
136.0,6578
141.0,6579
144.0,6580
148.0,6585
156.0,6610
163.0,6612
165.0,6613
171.0,6615
179.0,6617
181.0,6625
185.0,6629
217.0,6630
253.0,6631
276.0,6633
285.0,6633
289.0,6635
308.0,6636
316.0,6639
320.0,6641
372.0,6642
373.0,6643
375.0,6644
384.0,6645
415.0,6646
421.0,6647
438.0,6647
447.0,6648
455.0,6650
457.0,6663
466.0,6670
494.0,6672
532.0,6673
553.0,6674
556.0,6676
587.0,6677
607.0,6682
611.0,6682
634.0,6683
677.0,6684
710.0,6694
719.0,6698
729.0,6699
733.0,6701
750.0,6705
812.0,6706
861.0,6708
863.0,6709
865.0,6716
873.0,6717
879.0,6722
897.0,6725
900.0,6731
904.0,6732
922.0,6734
932.0,6736
938.0,6738
940.0,6739
962.0,6740
986.0,6740
992.0,6743
999.0,6744
1046.0,6745
1048.0,6746
1059.0,6747
1064.0,6748
1252.0,6750
1478.0,6751
1517.0,6752
1534.0,6752
1630.0,6753
1923.0,6754
2117.0,6760
2862.0,6761
3328.0,6763
3472.0,6764
3676.0,6783
3678.0,6794
3683.0,6795
3684.0,6795
3685.0,6800
3687.0,6802
3689.0,6803
3691.0,6805
3742.0,6805
3753.0,6806
3776.0,6808
3795.0,6809
3899.0,6810
3905.0,6811
3986.0,6812
4052.0,6813
4097.0,6814
4382.0,6815
4894.0,6816
5246.0,6816
6060.0,6816
7134.0,6816
8138.0,6817
8415.0,6818
10581.0,6819
10596.0,6820
11526.0,6821
11706.0,6822
12114.0,6823
14897.0,6824
14951.0,6825
14958.0,6830
15073.0,6831
15118.0,6832
15170.0,6833
15175.0,6835
15259.0,6836
15276.0,6836
15303.0,6837
15376.0,6838
15408.0,6838
15751.0,6839
15821.0,6840
15915.0,6841
15921.0,6842
18163.0,6842
25604.0,6846
26224.0,6851
26309.0,6852
30463.0,6852
30878.0,6853
33273.0,6854
34833.0,6855
35452.0,6855
36218.0,6856
36465.0,6856
36760.0,6858
36768.0,6864
36792.0,6865
36796.0,6866
36896.0,6867
37027.0,6867
39859.0,6876
42323.0,6876
42967.0,6878
56951.0,6879
57299.0,6879
60728.0,6880
64064.0,6880
68236.0,6881
72430.0,6882
74815.0,7041
